#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
0.28006 1.6586 -0.0035234 0.0037571 3.4425e-23 0.54851 0.61352 0.5
0.28253 1.6514 -0.0034732 0.0036401 -1.413e-23 0.53859 0.61591 0.5
-0.1958 1.8712 -0.0076302 0.00062458 -1.3065e-24 0.24078 0.91992 0.5
-0.17215 1.8609 -0.0080341 0.00072246 -1.3133e-25 0.24789 0.91277 0.5
-0.17807 1.8561 -0.0080645 0.00061158 4.2329e-24 0.23951 0.91243 0.5
0.11568 1.7572 -0.0089145 0.0031179 -1.0511e-23 0.40359 0.79765 0.5
0.10246 1.7686 -0.0090806 0.003039 7.3561e-24 0.40009 0.80757 0.5
0.10609 1.7731 -0.0090168 0.0031344 3.8813e-24 0.40953 0.80643 0.5
0.24679 1.7504 -0.0050711 0.0044632 2.0295e-23 0.61988 0.65139 0.5
0.24188 1.7602 -0.0053325 0.0044448 -1.3907e-23 0.61895 0.6629 0.5
0.24309 1.7656 -0.0052187 0.0044429 7.551e-25 0.63227 0.65887 0.5
0.42225 1.4576 0.0018627 -0.0014917 -1.0989e-23 0.43802 0.5298 0.5
0.43408 1.4466 0.0021123 -0.0018181 0 0.43496 0.52285 0.5
0.43463 1.4467 0.0020682 -0.0019058 -4.2744e-24 0.42688 0.53328 0.5
0.46679 1.357 0.0034535 -0.0017226 1.3934e-22 0.51255 0.19024 0.5
0.48048 1.3381 0.0033266 -0.0020258 -7.0806e-23 0.49733 0.19473 0.5
0.46661 1.3589 0.0034661 -0.0018203 -9.2871e-23 0.51148 0.20376 0.5
0.54373 1.356 0.0038132 -0.0050397 -1.1121e-23 0.36812 0.52762 0.5
0.51996 1.3719 0.0035288 -0.0044934 -1.5312e-23 0.38045 0.52524 0.5
0.54684 1.3509 0.0038407 -0.0051215 2.1582e-24 0.37097 0.51884 0.5
-0.078614 1.8108 -0.0093186 0.0011311 2.9731e-25 0.27449 0.87991 0.5
-0.062695 1.7943 -0.0094428 0.0010952 1.4615e-24 0.2728 0.87191 0.5
-0.079615 1.8007 -0.009331 0.00096224 4.6357e-26 0.26438 0.87765 0.5
0.52338 1.372 0.0035569 -0.0045814 -1.669e-25 0.37367 0.53374 0.5
0.47067 1.4158 0.0026587 -0.0030936 5.4758e-24 0.39819 0.54202 0.5
0.47578 1.4117 0.0027486 -0.0033055 2.4491e-23 0.38877 0.55039 0.5
0.45506 1.4284 0.0023461 -0.0026968 -2.8981e-23 0.40149 0.54925 0.5
0.28018 1.989 -0.00032734 0.00026591 8.3236e-24 1.1071 0.64896 0.5
0.27823 1.9929 -0.00023096 0.0001777 5.2114e-23 1.0972 0.66489 0.5
0.28093 2 0 0 0 1.12 0.6652 0.5
0.35427 1.4922 -0.0016729 -0.0042482 -9.2397e-25 0.17384 0.77082 0.5
0.3138 1.5099 -0.0023433 -0.0040479 -5.2011e-24 0.17264 0.7781 0.5
0.30534 1.5141 -0.0025161 -0.0038434 1.1167e-23 0.17943 0.77704 0.5
0.25965 1.6706 -0.0047304 0.0037988 -2.5063e-24 0.51455 0.65685 0.5
0.25358 1.6729 -0.0049591 0.0037795 2.2106e-24 0.50722 0.66515 0.5
0.24817 1.6869 -0.0052069 0.0039616 4.6222e-23 0.51923 0.6688 0.5
0.067968 1.8569 -0.0082425 0.0026495 3.6178e-25 0.44186 0.85156 0.5
0.057355 1.8698 -0.0079439 0.0024573 1.2945e-24 0.44101 0.86127 0.5
0.066842 1.8694 -0.0078852 0.0025165 2.2619e-25 0.45115 0.85727 0.5
1.0468 1.2779 0.0063672 -0.0073523 -5.531e-23 0.1501 0.70592 0.5
1.0523 1.2731 0.0065178 -0.0075165 2.6215e-23 0.15521 0.70055 0.5
1.1606 1.2515 0.0069761 -0.0075856 2.1904e-23 0.14847 0.6978 0.5
0.27864 1.5452 -0.0036253 -0.0015902 -6.304e-25 0.25583 0.75319 0.5
0.30997 1.5267 -0.0028304 -0.0020017 -7.5207e-24 0.25381 0.74465 0.5
0.29203 1.5354 -0.0032394 -0.0019601 4.3173e-24 0.24798 0.75239 0.5
0.55073 1.2559 0.0027136 -0.0036074 3.5239e-23 0.43075 0.23404 0.5
0.5372 1.2713 0.0028487 -0.0033941 6.9652e-23 0.44235 0.23131 0.5
0.55491 1.2494 0.0026133 -0.0035042 -6.7039e-23 0.42886 0.22316 0.5
1.4968 1.1669 0.0075202 -0.0079303 5.3977e-24 0.15337 0.66527 0.5
1.5461 1.164 0.0075454 -0.007773 -4.7951e-23 0.14811 0.66898 0.5
1.4285 1.1835 0.0076111 -0.0079597 -1.8798e-23 0.152 0.67248 0.5
0.33813 1.6465 0.0033885 0.0010304 -2.0056e-23 0.80216 0.11373 0.5
0.33513 1.6567 0.0032899 0.0010817 1.2972e-23 0.81405 0.11668 0.5
0.33566 1.6556 0.0033649 0.00091111 -3.3096e-23 0.81612 0.097846 0.5
-0.55596 1.9405 -0.00029916 -0.0003502 -5.9205e-24 0.011921 0.97395 0.5
-0.55397 1.9396 -0.00016394 -0.00036118 7.0648e-25 0.0065372 0.97317 0.5
-0.56878 1.9494 -0.00019467 -0.00025934 -4.7297e-25 0.0090132 0.97777 0.5
0.3091 1.7673 0.0013269 0.0021988 1.0232e-22 0.93578 0.24091 0.5
0.31118 1.7553 0.0015762 0.0021066 -2.5653e-24 0.92177 0.22462 0.5
0.30992 1.7591 0.0013647 0.0022913 -1.6626e-23 0.92119 0.24675 0.5
0.35225 1.5531 0.00023137 0.0016092 2.1929e-23 0.53358 0.50919 0.5
0.35952 1.5417 0.00061147 0.0013328 -2.0339e-23 0.53295 0.49628 0.5
0.36012 1.5394 0.00052474 0.0012458 1.5834e-24 0.52408 0.5057 0.5
0.30161 1.8534 0.0009742 0.00071454 -6.9827e-23 1.1155 0.10586 0.5
0.30088 1.8633 0.0008458 0.00071113 -1.0977e-22 1.135 0.11473 0.5
0.3012 1.8598 0.00091966 0.00061455 4.8988e-23 1.1293 0.094823 0.5
0.42649 1.419 0.0038906 -0.00034642 -3.4676e-23 0.57824 0.084806 0.5
0.43217 1.4075 0.003829 -0.00035936 -2.2069e-23 0.56933 0.070826 0.5
0.4387 1.3964 0.0037545 -0.00046821 -4.0091e-23 0.56006 0.079554 0.5
0.24387 1.8358 -0.0046654 0.0038568 5.1072e-23 0.73155 0.66899 0.5
0.2452 1.8241 -0.0046984 0.0040117 3.0738e-23 0.7199 0.66106 0.5
0.24138 1.8307 -0.0048363 0.0039301 1.6275e-23 0.7167 0.6726 0.5
0.090494 1.8279 -0.008671 0.0030329 3.7746e-24 0.44305 0.82997 0.5
0.078395 1.8417 -0.008517 0.0028551 -7.0485e-24 0.4425 0.84065 0.5
0.088713 1.8419 -0.0084134 0.0029399 -3.0346e-24 0.45369 0.83572 0.5
0.14895 1.7053 -0.0081407 0.0027535 -2.3837e-24 0.38272 0.77378 0.5
0.1467 1.7137 -0.0082409 0.0029293 2.662e-24 0.39259 0.77415 0.5
0.1594 1.7021 -0.0079635 0.0028682 -3.5166e-24 0.39165 0.76682 0.5
0.15169 1.8256 -0.0077717 0.0035693 -1.586e-24 0.5216 0.79071 0.5
0.14109 1.8338 -0.0078267 0.0034273 5.6413e-24 0.51448 0.8016 0.5
0.14621 1.8404 -0.0076311 0.003391 -1.1367e-23 0.52688 0.80051 0.5
-0.54659 1.9418 -0.0010547 -0.00031185 9.6139e-26 0.042009 0.97369 0.5
-0.55405 1.9483 -0.0010562 -0.00024323 3.1822e-23 0.046832 0.97655 0.5
-0.53435 1.9375 -0.0012839 -0.00033655 -9.5154e-24 0.048906 0.97187 0.5
0.29048 1.9609 -0.00050144 0.00075658 -3.8243e-23 1.2093 0.46613 0.5
0.29036 1.9533 -0.00055412 0.00090251 -1.3232e-23 1.1952 0.45437 0.5
0.28956 1.9534 -0.00059703 0.00092097 -5.6053e-23 1.1863 0.46817 0.5
0.29133 1.8947 -0.00061943 0.0018605 4.6132e-24 1.0922 0.39836 0.5
0.29214 1.8865 -0.00049498 0.0019083 -1.9416e-23 1.0874 0.37779 0.5
0.29151 1.8854 -0.00060379 0.0020009 5.1366e-23 1.0751 0.39462 0.5
0.33978 1.64 0.0035008 0.00088614 4.6083e-23 0.79698 0.099793 0.5
0.29071 1.8155 -0.0010125 0.0032663 -1.984e-23 0.91619 0.4367 0.5
0.72065 1.3535 0.0041364 -0.0064575 0 0.18653 0.70996 0.5
0.66012 1.3737 0.0033766 -0.0060772 1.2479e-23 0.18892 0.71618 0.5
0.67612 1.3664 0.003691 -0.0061732 5.6115e-25 0.19489 0.71032 0.5
0.29334 1.5739 -0.0034575 0.001034 -2.7058e-23 0.37768 0.68839 0.5
0.2735 1.593 -0.0041706 0.0014832 -2.0649e-24 0.38356 0.69798 0.5
0.28599 1.5808 -0.0036198 0.0012463 -1.5328e-24 0.3855 0.68723 0.5
0.28904 1.8039 -0.0013691 0.0035517 6.4885e-24 0.87711 0.4645 0.5
0.28757 1.7997 -0.0015546 0.003673 -1.5317e-23 0.86109 0.47762 0.5
0.28589 1.8129 -0.0016677 0.0035651 1.3446e-24 0.87606 0.48519 0.5
-0.52439 1.9289 -0.0012878 -0.00044293 3.3083e-25 0.044082 0.96843 0.5
0.98965 1.3186 0.0037444 -0.0060184 5.0278e-23 0.08639 0.74808 0.5
0.9141 1.3334 0.0034749 -0.0061186 1.945e-23 0.09175 0.75061 0.5
1.0363 1.3078 0.0042429 -0.0060771 1.1929e-23 0.091738 0.74316 0.5
-0.10195 1.7057 -0.0066054 -0.0025721 2.3341e-24 0.13764 0.86599 0.5
-0.10004 1.6992 -0.0062999 -0.0028385 2.7302e-24 0.12983 0.86462 0.5
-0.1257 1.7159 -0.0064777 -0.0025802 1.2004e-24 0.13162 0.87111 0.5
1.2741 1.2831 0.00046792 -0.0048064 1.2985e-23 0.0073264 0.75382 0.5
1.2668 1.2833 0.00078381 -0.0048524 -2.6164e-23 0.012609 0.75345 0.5
1.4268 1.2602 0.00070894 -0.0043987 1.0901e-23 0.010165 0.74838 0.5
0.13861 1.8546 -0.00745 0.0031792 -5.4308e-24 0.52864 0.81208 0.5
0.14873 1.8507 -0.0073677 0.0032832 9.6303e-24 0.53993 0.80414 0.5
0.38535 1.5049 0.0019593 0.00043148 4.7487e-24 0.54162 0.43175 0.5
0.39559 1.4896 0.0022498 4.1943e-05 -5.8772e-23 0.53561 0.41886 0.5
0.39779 1.4855 0.0022407 -9.1535e-05 3.0428e-24 0.52694 0.42773 0.5
-0.059805 1.7845 -0.0094353 0.00095854 -5.0784e-25 0.26614 0.86892 0.5
0.19922 1.8212 -0.0066175 0.0039273 6.5566e-25 0.60143 0.74152 0.5
0.19138 1.8342 -0.0066703 0.0037479 -1.6328e-24 0.59965 0.75588 0.5
0.19767 1.8337 -0.0065161 0.0037783 -6.0164e-24 0.61041 0.74926 0.5
-0.08326 1.9315 -0.0054797 0.0010463 1.267e-25 0.35537 0.92845 0.5
-0.093351 1.9296 -0.0055772 0.001032 -3.1435e-24 0.3448 0.92953 0.5
-0.099787 1.9421 -0.0047923 0.00087565 4.3197e-24 0.34922 0.93622 0.5
0.1478 1.9176 -0.0051808 0.0020761 1.6373e-25 0.59262 0.84127 0.5
0.15207 1.9218 -0.0049408 0.0020052 -2.0186e-24 0.60362 0.84088 0.5
0.15425 1.9061 -0.0055866 0.0023592 1.1388e-23 0.59476 0.82875 0.5
0.30795 1.7155 -2.2571e-05 0.0036045 5.6588e-24 0.78611 0.40385 0.5
0.30668 1.7232 1.4802e-05 0.0035595 -3.5193e-23 0.79976 0.39689 0.5
0.31009 1.7085 0.0002639 0.0034884 -8.3994e-23 0.78438 0.38761 0.5
0.26562 1.8158 -0.0035144 0.0040014 3.2619e-24 0.77985 0.59692 0.5
0.26049 1.8219 -0.0037805 0.0039731 1.6864e-24 0.77075 0.61451 0.5
0.2614 1.8289 -0.0036466 0.0038667 -1.0374e-24 0.78628 0.61143 0.5
