#"T" "Points:0" "Points:1" "Points:2"
0.62024 0.1 0.0081471 0
0.63844 0.11 0.0081471 0
0.65807 0.12 0.0081471 0
0.67907 0.13 0.0081471 0
0.70135 0.14 0.0081471 0
0.72482 0.15 0.0081471 0
0.7494 0.16 0.0081471 0
0.77498 0.17 0.0081471 0
0.80147 0.18 0.0081471 0
0.82875 0.19 0.0081471 0
0.85673 0.2 0.0081471 0
0.8853 0.21 0.0081471 0
0.91433 0.22 0.0081471 0
0.94371 0.23 0.0081471 0
0.97333 0.24 0.0081471 0
1.0031 0.25 0.0081471 0
1.0328 0.26 0.0081471 0
1.0625 0.27 0.0081471 0
1.0919 0.28 0.0081471 0
1.1209 0.29 0.0081471 0
1.1495 0.3 0.0081471 0
1.1775 0.31 0.0081471 0
1.2048 0.32 0.0081471 0
1.2314 0.33 0.0081471 0
1.257 0.34 0.0081471 0
1.2816 0.35 0.0081471 0
1.3052 0.36 0.0081471 0
1.3275 0.37 0.0081471 0
1.3486 0.38 0.0081471 0
1.3683 0.39 0.0081471 0
1.3865 0.4 0.0081471 0
1.4033 0.41 0.0081471 0
1.4184 0.42 0.0081471 0
1.432 0.43 0.0081471 0
1.4438 0.44 0.0081471 0
1.4539 0.45 0.0081471 0
1.4622 0.46 0.0081471 0
1.4687 0.47 0.0081471 0
1.4733 0.48 0.0081471 0
1.4762 0.49 0.0081471 0
1.4771 0.5 0.0081471 0
1.4762 0.51 0.0081471 0
1.4733 0.52 0.0081471 0
1.4687 0.53 0.0081471 0
1.4622 0.54 0.0081471 0
1.4539 0.55 0.0081471 0
1.4438 0.56 0.0081471 0
1.432 0.57 0.0081471 0
1.4184 0.58 0.0081471 0
1.4033 0.59 0.0081471 0
1.3865 0.6 0.0081471 0
1.3683 0.61 0.0081471 0
1.3486 0.62 0.0081471 0
1.3275 0.63 0.0081471 0
1.3052 0.64 0.0081471 0
1.2816 0.65 0.0081471 0
1.257 0.66 0.0081471 0
1.2314 0.67 0.0081471 0
1.2048 0.68 0.0081471 0
1.1775 0.69 0.0081471 0
1.1495 0.7 0.0081471 0
1.1209 0.71 0.0081471 0
1.0919 0.72 0.0081471 0
1.0625 0.73 0.0081471 0
1.0328 0.74 0.0081471 0
1.0031 0.75 0.0081471 0
0.97333 0.76 0.0081471 0
0.94371 0.77 0.0081471 0
0.91433 0.78 0.0081471 0
0.8853 0.79 0.0081471 0
0.85673 0.8 0.0081471 0
0.82875 0.81 0.0081471 0
0.80147 0.82 0.0081471 0
0.77498 0.83 0.0081471 0
0.7494 0.84 0.0081471 0
0.72482 0.85 0.0081471 0
0.70135 0.86 0.0081471 0
0.67907 0.87 0.0081471 0
0.65807 0.88 0.0081471 0
0.63844 0.89 0.0081471 0
0.62024 0.9 0.0081471 0
0.60356 0.91 0.0081471 0
0.58846 0.92 0.0081471 0
0.57499 0.93 0.0081471 0
0.56322 0.94 0.0081471 0
0.55317 0.95 0.0081471 0
0.5449 0.96 0.0081471 0
0.53844 0.97 0.0081471 0
0.5338 0.98 0.0081471 0
0.53101 0.99 0.0081471 0
0.53008 1 0.0081471 0
0.54486 0 0.012426 0
0.54577 0.01 0.012426 0
0.54847 0.02 0.012426 0
0.55298 0.03 0.012426 0
0.55925 0.04 0.012426 0
0.56729 0.05 0.012426 0
0.57704 0.06 0.012426 0
0.58848 0.07 0.012426 0
0.60156 0.08 0.012426 0
0.61622 0.09 0.012426 0
0.63243 0.1 0.012426 0
0.6501 0.11 0.012426 0
0.66917 0.12 0.012426 0
0.68958 0.13 0.012426 0
0.71123 0.14 0.012426 0
0.73404 0.15 0.012426 0
0.75793 0.16 0.012426 0
0.78279 0.17 0.012426 0
0.80854 0.18 0.012426 0
0.83506 0.19 0.012426 0
0.86226 0.2 0.012426 0
0.89003 0.21 0.012426 0
0.91826 0.22 0.012426 0
0.94683 0.23 0.012426 0
0.97564 0.24 0.012426 0
1.0046 0.25 0.012426 0
1.0335 0.26 0.012426 0
1.0623 0.27 0.012426 0
1.0909 0.28 0.012426 0
1.1192 0.29 0.012426 0
1.147 0.3 0.012426 0
1.1742 0.31 0.012426 0
1.2008 0.32 0.012426 0
1.2266 0.33 0.012426 0
1.2515 0.34 0.012426 0
1.2755 0.35 0.012426 0
1.2984 0.36 0.012426 0
1.3201 0.37 0.012426 0
1.3406 0.38 0.012426 0
1.3598 0.39 0.012426 0
1.3776 0.4 0.012426 0
1.3938 0.41 0.012426 0
1.4086 0.42 0.012426 0
1.4218 0.43 0.012426 0
1.4333 0.44 0.012426 0
1.4431 0.45 0.012426 0
1.4512 0.46 0.012426 0
1.4575 0.47 0.012426 0
1.462 0.48 0.012426 0
1.4648 0.49 0.012426 0
1.4657 0.5 0.012426 0
1.4648 0.51 0.012426 0
1.462 0.52 0.012426 0
1.4575 0.53 0.012426 0
1.4512 0.54 0.012426 0
1.4431 0.55 0.012426 0
1.4333 0.56 0.012426 0
1.4218 0.57 0.012426 0
1.4086 0.58 0.012426 0
1.3938 0.59 0.012426 0
1.3776 0.6 0.012426 0
1.3598 0.61 0.012426 0
1.3406 0.62 0.012426 0
1.3201 0.63 0.012426 0
1.2984 0.64 0.012426 0
1.2755 0.65 0.012426 0
1.2515 0.66 0.012426 0
1.2266 0.67 0.012426 0
1.2008 0.68 0.012426 0
1.1742 0.69 0.012426 0
1.147 0.7 0.012426 0
1.1192 0.71 0.012426 0
1.0909 0.72 0.012426 0
1.0623 0.73 0.012426 0
1.0335 0.74 0.012426 0
1.0046 0.75 0.012426 0
0.97564 0.76 0.012426 0
0.94683 0.77 0.012426 0
0.91826 0.78 0.012426 0
0.89003 0.79 0.012426 0
0.86226 0.8 0.012426 0
0.83506 0.81 0.012426 0
0.80854 0.82 0.012426 0
0.78279 0.83 0.012426 0
0.75793 0.84 0.012426 0
0.73404 0.85 0.012426 0
0.71123 0.86 0.012426 0
0.68958 0.87 0.012426 0
0.66917 0.88 0.012426 0
0.6501 0.89 0.012426 0
0.63243 0.9 0.012426 0
0.61622 0.91 0.012426 0
0.60156 0.92 0.012426 0
0.58848 0.93 0.012426 0
0.57704 0.94 0.012426 0
0.56729 0.95 0.012426 0
0.55925 0.96 0.012426 0
0.55298 0.97 0.012426 0
0.54847 0.98 0.012426 0
0.54577 0.99 0.012426 0
0.54486 1 0.012426 0
0.55959 0 0.016847 0
0.56046 0.01 0.016847 0
0.56309 0.02 0.016847 0
0.56746 0.03 0.016847 0
0.57355 0.04 0.016847 0
0.58135 0.05 0.016847 0
0.59081 0.06 0.016847 0
0.60191 0.07 0.016847 0
0.61461 0.08 0.016847 0
0.62884 0.09 0.016847 0
0.64457 0.1 0.016847 0
0.66173 0.11 0.016847 0
0.68025 0.12 0.016847 0
0.70006 0.13 0.016847 0
0.72108 0.14 0.016847 0
0.74323 0.15 0.016847 0
0.76643 0.16 0.016847 0
0.79057 0.17 0.016847 0
0.81558 0.18 0.016847 0
0.84135 0.19 0.016847 0
0.86777 0.2 0.016847 0
0.89474 0.21 0.016847 0
0.92217 0.22 0.016847 0
0.94993 0.23 0.016847 0
0.97791 0.24 0.016847 0
1.006 0.25 0.016847 0
1.0341 0.26 0.016847 0
1.0621 0.27 0.016847 0
1.0899 0.28 0.016847 0
1.1174 0.29 0.016847 0
1.1444 0.3 0.016847 0
1.1709 0.31 0.016847 0
1.1967 0.32 0.016847 0
1.2218 0.33 0.016847 0
1.246 0.34 0.016847 0
1.2693 0.35 0.016847 0
1.2916 0.36 0.016847 0
1.3127 0.37 0.016847 0
1.3326 0.38 0.016847 0
1.3513 0.39 0.016847 0
1.3685 0.4 0.016847 0
1.3844 0.41 0.016847 0
1.3987 0.42 0.016847 0
1.4115 0.43 0.016847 0
1.4227 0.44 0.016847 0
1.4322 0.45 0.016847 0
1.4401 0.46 0.016847 0
1.4462 0.47 0.016847 0
1.4506 0.48 0.016847 0
1.4533 0.49 0.016847 0
1.4542 0.5 0.016847 0
1.4533 0.51 0.016847 0
1.4506 0.52 0.016847 0
1.4462 0.53 0.016847 0
1.4401 0.54 0.016847 0
1.4322 0.55 0.016847 0
