100.000	1.5250
50.000	1.3557
33.333	1.2621
25.000	1.1987
20.000	1.1513
16.667	1.1114
14.286	1.0834
12.500	1.0577
11.111	1.0358
10.000	1.0164
5.000	0.9042
3.333	0.8513
2.500	0.8205
2.000	0.8009
1.667	0.7880
1.429	0.7794
1.250	0.7739
1.111	0.7699
1.000	0.7690
0.909	0.7686
0.833	0.7693
0.769	0.7708
0.714	0.7730
0.667	0.7758
0.625	0.7790
0.588	0.7827
0.556	0.7867
0.526	0.7910
0.500	0.7956
0.400	0.8245
0.333	0.8552
0.286	0.8880
0.250	0.9225
0.222	0.9581
0.200	0.9948
0.182	1.0316
0.167	1.0691
0.154	1.1068
0.143	1.1452
0.133	1.1836
0.125	1.2223
0.118	1.2611
0.111	1.3000
0.105	1.3390
0.100	1.3779
0.095	1.4169

