3.123E-02	2.913E+00
3.455E-02	2.702E+00
3.528E-02	2.661E+00
3.645E-02	2.588E+00
3.964E-02	2.417E+00
4.181E-02	2.344E+00
4.671E-02	2.153E+00
5.105E-02	2.032E+00
5.228E-02	1.994E+00
5.418E-02	1.946E+00
5.665E-02	1.891E+00
5.664E-02	1.874E+00
6.079E-02	1.797E+00
6.298E-02	1.765E+00
6.475E-02	1.723E+00
6.869E-02	1.668E+00
7.292E-02	1.613E+00
8.063E-02	1.526E+00
8.635E-02	1.476E+00
9.321E-02	1.413E+00
1.054E-01	1.334E+00
1.120E-01	1.291E+00
1.171E-01	1.265E+00
1.299E-01	1.212E+00
1.433E-01	1.175E+00
1.609E-01	1.086E+00
1.638E-01	1.072E+00
1.840E-01	9.648E-01
2.020E-01	9.368E-01
2.189E-01	9.675E-01
2.404E-01	9.114E-01
2.597E-01	8.954E-01
2.930E-01	9.018E-01
2.953E-01	9.249E-01
3.277E-01	8.077E-01
3.392E-01	8.493E-01
3.483E-01	8.692E-01
3.587E-01	7.859E-01
3.512E-01	8.103E-01
3.653E-01	7.859E-01
4.205E-01	8.187E-01
4.625E-01	7.533E-01
5.039E-01	7.518E-01
5.231E-01	8.017E-01
5.455E-01	7.920E-01
5.630E-01	8.230E-01
5.907E-01	8.221E-01
6.399E-01	7.754E-01
6.975E-01	8.273E-01
7.533E-01	8.132E-01
8.092E-01	8.475E-01
8.619E-01	8.354E-01
1.014E+00	8.361E-01
1.132E+00	8.255E-01
1.191E+00	8.590E-01
1.465E+00	8.706E-01
1.970E+00	8.949E-01
2.125E+00	9.052E-01
2.353E+00	9.188E-01
2.779E+00	9.263E-01
2.975E+00	9.432E-01
3.475E+00	9.259E-01
4.220E+00	1.008E+00
4.689E+00	9.909E-01
6.382E+00	9.888E-01
9.755E+00	1.052E+00
1.011E+01	1.054E+00
1.313E+01	1.093E+00
1.747E+01	1.125E+00
2.589E+01	1.209E+00
2.696E+01	1.132E+00
3.810E+01	1.261E+00
4.140E+01	1.205E+00
5.031E+01	1.229E+00
5.675E+01	1.232E+00
