6.592E-01	1.555E+00	9.566E-02
6.800E-01	1.552E+00	1.031E-01
7.015E-01	1.549E+00	1.111E-01
7.236E-01	1.547E+00	1.198E-01
7.465E-01	1.545E+00	1.291E-01
7.700E-01	1.543E+00	1.391E-01
7.943E-01	1.542E+00	1.498E-01
8.194E-01	1.540E+00	1.614E-01
8.453E-01	1.539E+00	1.739E-01
8.720E-01	1.539E+00	1.873E-01
8.995E-01	1.538E+00	2.017E-01
9.279E-01	1.538E+00	2.171E-01
9.572E-01	1.538E+00	2.338E-01
9.874E-01	1.539E+00	2.517E-01
1.019E+00	1.539E+00	2.709E-01
1.051E+00	1.540E+00	2.916E-01
1.084E+00	1.541E+00	3.138E-01
1.118E+00	1.542E+00	3.377E-01
1.153E+00	1.544E+00	3.633E-01
1.190E+00	1.545E+00	3.908E-01
1.227E+00	1.547E+00	4.204E-01
1.266E+00	1.549E+00	4.522E-01
1.306E+00	1.551E+00	4.862E-01
1.347E+00	1.554E+00	5.228E-01
1.390E+00	1.557E+00	5.621E-01
1.434E+00	1.560E+00	6.043E-01
1.479E+00	1.563E+00	6.495E-01
1.525E+00	1.566E+00	6.981E-01
1.574E+00	1.569E+00	7.502E-01
1.623E+00	1.573E+00	8.061E-01
1.675E+00	1.577E+00	8.660E-01
1.727E+00	1.581E+00	9.303E-01
1.782E+00	1.585E+00	9.993E-01
1.838E+00	1.589E+00	1.073E+00
1.896E+00	1.594E+00	1.153E+00
1.956E+00	1.598E+00	1.238E+00
2.018E+00	1.603E+00	1.329E+00
2.081E+00	1.608E+00	1.426E+00
2.147E+00	1.613E+00	1.531E+00
2.215E+00	1.619E+00	1.643E+00
2.285E+00	1.624E+00	1.763E+00
2.357E+00	1.630E+00	1.892E+00
2.431E+00	1.636E+00	2.030E+00
2.508E+00	1.642E+00	2.178E+00
2.587E+00	1.648E+00	2.336E+00
2.669E+00	1.654E+00	2.506E+00
2.753E+00	1.660E+00	2.687E+00
2.840E+00	1.667E+00	2.882E+00
2.930E+00	1.673E+00	3.090E+00
