#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
7.3966 0.66735 2.2508 -0.0051656 0 0.13 0.0040066 0
8.2004 0.69014 2.3385 -0.0025539 0 0.14 0.0040066 0
9.0345 0.71417 2.4244 5.4157e-05 0 0.15 0.0040066 0
9.8967 0.73935 2.5079 0.0026584 0 0.16 0.0040066 0
10.784 0.76557 2.5886 0.0052593 0 0.17 0.0040066 0
11.695 0.79274 2.6657 0.0078572 0 0.18 0.0040066 0
12.624 0.82074 2.7387 0.010453 0 0.19 0.0040066 0
13.568 0.84947 2.807 0.013046 0 0.2 0.0040066 0
14.524 0.8788 2.8698 0.015636 0 0.21 0.0040066 0
15.487 0.90863 2.9268 0.01822 0 0.22 0.0040066 0
16.452 0.93884 2.9772 0.020797 0 0.23 0.0040066 0
17.415 0.9693 3.0205 0.023363 0 0.24 0.0040066 0
18.372 0.99989 3.0561 0.025913 0 0.25 0.0040066 0
19.318 1.0305 3.0837 0.028442 0 0.26 0.0040066 0
20.248 1.061 3.1027 0.030946 0 0.27 0.0040066 0
21.158 1.0913 3.1127 0.033414 0 0.28 0.0040066 0
22.043 1.1212 3.1136 0.035838 0 0.29 0.0040066 0
22.899 1.1506 3.1049 0.038215 0 0.3 0.0040066 0
23.721 1.1795 3.0865 0.040535 0 0.31 0.0040066 0
24.506 1.2076 3.0582 0.042786 0 0.32 0.0040066 0
25.251 1.235 3.0201 0.044959 0 0.33 0.0040066 0
25.95 1.2614 2.9721 0.047044 0 0.34 0.0040066 0
26.601 1.2868 2.9143 0.049031 0 0.35 0.0040066 0
27.201 1.311 2.8469 0.05091 0 0.36 0.0040066 0
27.746 1.3341 2.7701 0.052672 0 0.37 0.0040066 0
28.233 1.3558 2.6843 0.054306 0 0.38 0.0040066 0
28.661 1.3761 2.5897 0.055802 0 0.39 0.0040066 0
29.026 1.395 2.487 0.057151 0 0.4 0.0040066 0
29.328 1.4123 2.3765 0.058346 0 0.41 0.0040066 0
29.563 1.4279 2.2589 0.059376 0 0.42 0.0040066 0
29.73 1.4419 2.1349 0.060236 0 0.43 0.0040066 0
29.829 1.4541 2.005 0.060917 0 0.44 0.0040066 0
29.858 1.4646 1.87 0.061414 0 0.45 0.0040066 0
29.817 1.4732 1.7307 0.061721 0 0.46 0.0040066 0
29.705 1.4799 1.588 0.061835 0 0.47 0.0040066 0
29.522 1.4848 1.4425 0.061751 0 0.48 0.0040066 0
29.269 1.4877 1.2953 0.061467 0 0.49 0.0040066 0
28.947 1.4887 1.1472 0.060982 0 0.5 0.0040066 0
28.555 1.4878 0.99896 0.060295 0 0.51 0.0040066 0
28.095 1.485 0.85159 0.059407 0 0.52 0.0040066 0
27.57 1.4802 0.70593 0.058319 0 0.53 0.0040066 0
26.979 1.4736 0.56283 0.057034 0 0.54 0.0040066 0
26.326 1.4651 0.42312 0.055555 0 0.55 0.0040066 0
25.613 1.4548 0.28761 0.053888 0 0.56 0.0040066 0
24.843 1.4426 0.15709 0.052037 0 0.57 0.0040066 0
24.018 1.4288 0.032273 0.050009 0 0.58 0.0040066 0
23.142 1.4132 -0.086145 0.047812 0 0.59 0.0040066 0
22.218 1.396 -0.19753 0.045453 0 0.6 0.0040066 0
21.25 1.3773 -0.3013 0.042942 0 0.61 0.0040066 0
20.243 1.3571 -0.39695 0.040288 0 0.62 0.0040066 0
19.2 1.3354 -0.48402 0.037502 0 0.63 0.0040066 0
18.127 1.3125 -0.56213 0.034594 0 0.64 0.0040066 0
17.027 1.2883 -0.63096 0.031577 0 0.65 0.0040066 0
15.907 1.263 -0.69027 0.028461 0 0.66 0.0040066 0
14.771 1.2367 -0.7399 0.025259 0 0.67 0.0040066 0
13.625 1.2094 -0.77976 0.021984 0 0.68 0.0040066 0
12.475 1.1814 -0.80983 0.018649 0 0.69 0.0040066 0
11.325 1.1526 -0.83016 0.015268 0 0.7 0.0040066 0
10.184 1.1233 -0.84088 0.011853 0 0.71 0.0040066 0
9.0555 1.0934 -0.84218 0.0084185 0 0.72 0.0040066 0
7.9462 1.0632 -0.83433 0.0049787 0 0.73 0.0040066 0
6.8625 1.0328 -0.81765 0.0015467 0 0.74 0.0040066 0
5.8105 1.0023 -0.79253 -0.0018629 0 0.75 0.0040066 0
4.7962 0.97175 -0.75938 -0.0052356 0 0.76 0.0040066 0
3.8255 0.94134 -0.7187 -0.0085568 0 0.77 0.0040066 0
2.904 0.91119 -0.67101 -0.011812 0 0.78 0.0040066 0
2.0373 0.8814 -0.61685 -0.014986 0 0.79 0.0040066 0
1.2305 0.85209 -0.55681 -0.018064 0 0.8 0.0040066 0
0.48826 0.82338 -0.49147 -0.02103 0 0.81 0.0040066 0
-0.1851 0.79539 -0.42146 -0.023867 0 0.82 0.0040066 0
