#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -1.76763e-03 1.24123e-01 -1.24014e-06 4.38799e-05 1.40134e-02 1.40118e-02 1.40123e-02 2.25927e-03 2.25919e-03
3.98107e-03 -2.22130e-03 1.23900e-01 -1.96167e-06 5.50425e-05 1.76421e-02 1.76396e-02 1.76403e-02 2.27365e-03 2.27364e-03
5.01187e-03 -2.79012e-03 1.23621e-01 -3.10148e-06 6.89810e-05 2.22106e-02 2.22066e-02 2.22077e-02 2.29155e-03 2.29164e-03
6.30957e-03 -3.50257e-03 1.23272e-01 -4.90048e-06 8.63489e-05 2.79622e-02 2.79559e-02 2.79576e-02 2.31379e-03 2.31403e-03
7.94328e-03 -4.39376e-03 1.22835e-01 -7.73701e-06 1.07933e-04 3.52035e-02 3.51935e-02 3.51963e-02 2.34131e-03 2.34179e-03
1.00000e-02 -5.50670e-03 1.22292e-01 -1.22036e-05 1.34668e-04 4.43203e-02 4.43047e-02 4.43090e-02 2.37520e-03 2.37606e-03
1.25893e-02 -6.89378e-03 1.21618e-01 -1.92259e-05 1.67646e-04 5.57989e-02 5.57745e-02 5.57813e-02 2.41672e-03 2.41817e-03
1.58489e-02 -8.61802e-03 1.20782e-01 -3.02423e-05 2.08110e-04 7.02505e-02 7.02123e-02 7.02229e-02 2.46721e-03 2.46958e-03
1.99526e-02 -1.07548e-02 1.19751e-01 -4.74832e-05 2.57442e-04 8.84468e-02 8.83873e-02 8.84039e-02 2.52803e-03 2.53184e-03
2.51189e-02 -1.33924e-02 1.18486e-01 -7.43837e-05 3.17094e-04 1.11358e-01 1.11266e-01 1.11292e-01 2.60047e-03 2.60648e-03
3.16228e-02 -1.66325e-02 1.16944e-01 -1.16188e-04 3.88493e-04 1.40206e-01 1.40065e-01 1.40104e-01 2.68546e-03 2.69482e-03
3.98107e-02 -2.05892e-02 1.15079e-01 -1.80813e-04 4.72874e-04 1.76531e-01 1.76313e-01 1.76374e-01 2.78328e-03 2.79770e-03
5.01187e-02 -2.53864e-02 1.12848e-01 -2.79898e-04 5.71033e-04 2.22273e-01 2.21941e-01 2.22034e-01 2.89307e-03 2.91506e-03
6.30957e-02 -3.11516e-02 1.10209e-01 -4.29682e-04 6.82994e-04 2.79872e-01 2.79373e-01 2.79512e-01 3.01224e-03 3.04543e-03
7.94328e-02 -3.80079e-02 1.07136e-01 -6.50494e-04 8.07604e-04 3.52404e-01 3.51661e-01 3.51868e-01 3.13585e-03 3.18528e-03
1.00000e-01 -4.60604e-02 1.03616e-01 -9.63373e-04 9.42109e-04 4.43739e-01 4.42649e-01 4.42952e-01 3.25599e-03 3.32847e-03
1.25893e-01 -5.53803e-02 9.96585e-02 -1.38306e-03 1.08181e-03 5.58753e-01 5.57177e-01 5.57616e-01 3.36168e-03 3.46580e-03
1.58489e-01 -6.59851e-02 9.52979e-02 -1.91081e-03 1.21991e-03 7.03570e-01 7.01332e-01 7.01956e-01 3.43929e-03 3.58514e-03
1.99526e-01 -7.78224e-02 9.05836e-02 -2.52700e-03 1.34785e-03 8.85913e-01 8.82799e-01 8.83668e-01 3.47414e-03 3.67221e-03
2.51189e-01 -9.07542e-02 8.55781e-02 -3.19144e-03 1.45601e-03 1.11548e+00 1.11124e+00 1.11243e+00 3.45289e-03 3.71242e-03
3.16228e-01 -1.04554e-01 8.03481e-02 -3.84839e-03 1.53501e-03 1.40447e+00 1.39885e+00 1.40042e+00 3.36610e-03 3.69325e-03
