#  Kn         Pxy          M          Qx         Qy        Pxx        Pyy        Pzz          T |         fit_errors
 0.03 -4.7198e-02 1.1298e-01 -8.8787e-03 2.6694e-02 4.5726e-01 4.4329e-01 4.4739e-01 4.7110e-01 | 8.78e-05 2.01e-05 7.81e-05 300000
 0.05 -7.5879e-02 1.1095e-01 -2.1049e-02 4.2145e-02 4.9243e-01 4.5838e-01 4.6875e-01 4.9358e-01 | 1.05e-04 2.59e-05 9.60e-05 300000
  0.1 -1.3561e-01 1.0806e-01 -6.0338e-02 7.3182e-02 5.8301e-01 4.7993e-01 5.0898e-01 5.4296e-01 | 1.08e-04 2.78e-05 1.26e-04 300000
  0.2 -2.1671e-01 1.0510e-01 -1.4329e-01 1.1403e-01 7.4666e-01 4.8781e-01 5.5234e-01 6.1284e-01 | 1.39e-04 2.85e-05 1.80e-04 250000
  0.3 -2.6925e-01 1.0275e-01 -2.1549e-01 1.3809e-01 8.8617e-01 4.8211e-01 5.7337e-01 6.6259e-01 | 2.77e-04 6.44e-05 3.00e-04 200000
  0.5 -3.3401e-01 9.7758e-02 -3.2521e-01 1.6346e-01 1.1071e+00 4.6147e-01 5.8458e-01 7.2984e-01 | 1.44e-04 3.59e-05 2.37e-04 180000
    1 -4.1468e-01 8.5728e-02 -4.6649e-01 1.7780e-01 1.4728e+00 4.1554e-01 5.6481e-01 8.2444e-01 | 2.29e-04 6.27e-05 3.52e-04 170000
    2 -4.8299e-01 6.8511e-02 -5.2875e-01 1.6556e-01 1.8556e+00 3.6029e-01 5.0445e-01 9.0955e-01 | 2.10e-04 6.99e-05 6.50e-04 150000
    3 -5.1337e-01 5.7661e-02 -5.1278e-01 1.4788e-01 2.0540e+00 3.2840e-01 4.5793e-01 9.4827e-01 | 2.39e-04 9.03e-05 7.20e-04 150000
    5 -5.4209e-01 4.4828e-02 -4.5242e-01 1.2147e-01 2.2551e+00 2.9309e-01 3.9938e-01 9.8311e-01 | 1.88e-04 8.58e-05 7.93e-04 150000
   10 -5.6321e-01 3.0023e-02 -3.3576e-01 8.4468e-02 2.4457e+00 2.5696e-01 3.3043e-01 1.0111e+00 | 1.90e-04 8.57e-05 1.01e-03 170000
   20 -5.7155e-01 1.9314e-02 -2.2782e-01 5.5159e-02 2.5576e+00 2.3347e-01 2.8025e-01 1.0238e+00 | 1.54e-04 9.41e-05 1.11e-03 180000
   30 -5.7245e-01 1.4532e-02 -1.7466e-01 4.1640e-02 2.5990e+00 2.2421e-01 2.5958e-01 1.0276e+00 | 1.44e-04 9.31e-05 1.05e-03 180000
