#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P         DU0          DT0          p0        T_B0
3.162280e-03 -1.80688e-03 1.23499e-01 -4.70951e-06 4.46295e-04 1.41069e-03 1.39396e-03 1.39910e-03 2.26722e-02 2.24905e-02 1.01443e+00 -2.66259e-01 1.04498e+00 1.00172e+00
3.981070e-03 -2.27101e-03 1.23283e-01 -7.42470e-06 5.59955e-04 1.77897e-03 1.75255e-03 1.76067e-03 2.28134e-02 2.26330e-02 1.01255e+00 -2.65297e-01 1.04527e+00 1.00215e+00
5.011870e-03 -2.85317e-03 1.23013e-01 -1.16894e-05 7.01952e-04 2.24435e-03 2.20266e-03 2.21547e-03 2.29895e-02 2.28108e-02 1.01020e+00 -2.64093e-01 1.04562e+00 1.00270e+00
6.309570e-03 -3.58266e-03 1.22674e-01 -1.83725e-05 8.78997e-04 2.83293e-03 2.76722e-03 2.78741e-03 2.32088e-02 2.30321e-02 1.00726e+00 -2.62589e-01 1.04606e+00 1.00338e+00
7.943280e-03 -4.49571e-03 1.22249e-01 -2.88150e-05 1.09919e-03 3.57812e-03 3.47471e-03 3.50648e-03 2.34809e-02 2.33068e-02 1.00357e+00 -2.60713e-01 1.04661e+00 1.00423e+00
1.000000e-02 -5.63676e-03 1.21719e-01 -4.50725e-05 1.37220e-03 4.52280e-03 4.36035e-03 4.41025e-03 2.38175e-02 2.36465e-02 9.98973e-01 -2.58380e-01 1.04729e+00 1.00528e+00
1.258930e-02 -7.06010e-03 1.21057e-01 -7.02687e-05 1.70935e-03 5.72217e-03 5.46754e-03 5.54575e-03 2.42318e-02 2.40647e-02 9.93240e-01 -2.55486e-01 1.04813e+00 1.00657e+00
1.584890e-02 -8.83130e-03 1.20234e-01 -1.09094e-04 2.12365e-03 7.24746e-03 6.84944e-03 6.97169e-03 2.47388e-02 2.45764e-02 9.86115e-01 -2.51910e-01 1.04915e+00 1.00816e+00
1.995260e-02 -1.10290e-02 1.19213e-01 -1.68503e-04 2.62960e-03 9.19113e-03 8.57114e-03 8.76153e-03 2.53547e-02 2.51980e-02 9.77288e-01 -2.47512e-01 1.05040e+00 1.01010e+00
2.511890e-02 -1.37460e-02 1.17950e-01 -2.58608e-04 3.24268e-03 1.16732e-02 1.07116e-02 1.10068e-02 2.60961e-02 2.59463e-02 9.66395e-01 -2.42134e-01 1.05189e+00 1.01245e+00
3.162280e-02 -1.70894e-02 1.16397e-01 -3.93778e-04 3.97830e-03 1.48498e-02 1.33661e-02 1.38216e-02 2.69780e-02 2.68363e-02 9.53019e-01 -2.35606e-01 1.05367e+00 1.01527e+00
3.981070e-02 -2.11804e-02 1.14496e-01 -5.93823e-04 4.85014e-03 1.89242e-02 1.66500e-02 1.73478e-02 2.80117e-02 2.78793e-02 9.36693e-01 -2.27752e-01 1.05576e+00 1.01861e+00
5.011870e-02 -2.61513e-02 1.12186e-01 -8.84988e-04 5.86762e-03 2.41603e-02 2.07018e-02 2.17627e-02 2.92005e-02 2.90789e-02 9.16913e-01 -2.18404e-01 1.05816e+00 1.02250e+00
6.309570e-02 -3.21394e-02 1.09403e-01 -1.30021e-03 7.03228e-03 3.08991e-02 2.56895e-02 2.72870e-02 3.05352e-02 3.04257e-02 8.93161e-01 -2.07423e-01 1.06085e+00 1.02695e+00
7.943280e-02 -3.92775e-02 1.06084e-01 -1.87779e-03 8.33340e-03 3.95770e-02 3.18192e-02 3.41971e-02 3.19877e-02 3.18912e-02 8.64946e-01 -1.94726e-01 1.06378e+00 1.03192e+00
1.000000e-01 -4.76794e-02 1.02173e-01 -2.65743e-03 9.74310e-03 5.07451e-02 3.93488e-02 4.28402e-02 3.35048e-02 3.34221e-02 8.31854e-01 -1.80321e-01 1.06684e+00 1.03729e+00
1.258930e-01 -5.74206e-02 9.76326e-02 -3.67251e-03 1.12122e-02 6.50884e-02 4.86104e-02 5.36558e-02 3.50036e-02 3.49350e-02 7.93620e-01 -1.64336e-01 1.06987e+00 1.04290e+00
1.584890e-01 -6.85154e-02 9.24497e-02 -4.93849e-03 1.26684e-02 8.34385e-02 6.00442e-02 6.72031e-02 3.63706e-02 3.63156e-02 7.50206e-01 -1.47050e-01 1.07263e+00 1.04846e+00
1.995260e-01 -8.08967e-02 8.66470e-02 -6.43919e-03 1.40189e-02 1.06787e-01 7.42500e-02 8.42006e-02 3.74674e-02 3.74252e-02 7.01868e-01 -1.28895e-01 1.07485e+00 1.05362e+00
2.511890e-01 -9.43986e-02 8.02905e-02 -8.11438e-03 1.51586e-02 1.36289e-01 9.20533e-02 1.05573e-01 3.81448e-02 3.81138e-02 6.49213e-01 -1.10440e-01 1.07623e+00 1.05801e+00
3.162280e-01 -1.08753e-01 7.34921e-02 -9.85555e-03 1.59850e-02 1.73272e-01 1.14589e-01 1.32514e-01 3.82647e-02 3.82430e-02 5.93205e-01 -9.23353e-02 1.07649e+00 1.06123e+00
