#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -1.80688e-03 1.23501e-01 -5.87984e-06 4.46295e-04 1.41050e-03 1.39435e-03 1.39891e-03 2.26708e-02 2.24901e-02
3.98107e-03 -2.27101e-03 1.23285e-01 -9.27718e-06 5.59955e-04 1.77866e-03 1.75317e-03 1.76036e-03 2.28112e-02 2.26324e-02
5.01187e-03 -2.85317e-03 1.23017e-01 -1.46208e-05 7.01952e-04 2.24386e-03 2.20363e-03 2.21498e-03 2.29861e-02 2.28098e-02
6.30957e-03 -3.58266e-03 1.22680e-01 -2.30093e-05 8.78997e-04 2.83216e-03 2.76875e-03 2.78664e-03 2.32034e-02 2.30306e-02
7.94328e-03 -4.49571e-03 1.22259e-01 -3.61454e-05 1.09919e-03 3.57691e-03 3.47712e-03 3.50527e-03 2.34723e-02 2.33044e-02
1.00000e-02 -5.63676e-03 1.21734e-01 -5.66539e-05 1.37220e-03 4.52091e-03 4.36414e-03 4.40836e-03 2.38041e-02 2.36427e-02
1.25893e-02 -7.06010e-03 1.21081e-01 -8.85510e-05 1.70935e-03 5.71920e-03 5.47348e-03 5.54278e-03 2.42107e-02 2.40588e-02
1.58489e-02 -8.83130e-03 1.20272e-01 -1.37924e-04 2.12365e-03 7.24282e-03 6.85873e-03 6.96705e-03 2.47058e-02 2.45671e-02
1.99526e-02 -1.10290e-02 1.19273e-01 -2.13907e-04 2.62960e-03 9.18389e-03 8.58561e-03 8.75429e-03 2.53033e-02 2.51835e-02
2.51189e-02 -1.37460e-02 1.18045e-01 -3.29997e-04 3.24268e-03 1.16620e-02 1.07341e-02 1.09956e-02 2.60162e-02 2.59238e-02
3.16228e-02 -1.70894e-02 1.16546e-01 -5.05786e-04 3.97830e-03 1.48325e-02 1.34008e-02 1.38043e-02 2.68545e-02 2.68016e-02
3.98107e-02 -2.11804e-02 1.14728e-01 -7.69061e-04 4.85014e-03 1.88976e-02 1.67032e-02 1.73212e-02 2.78220e-02 2.78261e-02
5.01187e-02 -2.61513e-02 1.12547e-01 -1.15798e-03 5.86762e-03 2.41198e-02 2.07828e-02 2.17222e-02 2.89113e-02 2.89979e-02
6.30957e-02 -3.21394e-02 1.09962e-01 -1.72248e-03 7.03228e-03 3.08381e-02 2.58116e-02 2.72260e-02 3.00984e-02 3.03036e-02
7.94328e-02 -3.92775e-02 1.06941e-01 -2.52280e-03 8.33340e-03 3.94860e-02 3.20013e-02 3.41061e-02 3.13353e-02 3.17091e-02
1.00000e-01 -4.76794e-02 1.03471e-01 -3.62227e-03 9.74310e-03 5.06112e-02 3.96166e-02 4.27063e-02 3.25445e-02 3.31543e-02
1.25893e-01 -5.74206e-02 9.95585e-02 -5.07224e-03 1.12122e-02 6.48946e-02 4.89981e-02 5.34620e-02 3.36158e-02 3.45473e-02
1.58489e-01 -6.85154e-02 9.52359e-02 -6.89162e-03 1.26684e-02 8.31635e-02 6.05941e-02 6.69281e-02 3.44117e-02 3.57657e-02
1.99526e-01 -8.08967e-02 9.05528e-02 -9.04439e-03 1.40189e-02 1.06407e-01 7.50105e-02 8.38203e-02 3.47818e-02 3.66647e-02
2.51189e-01 -9.43986e-02 8.55715e-02 -1.14263e-02 1.51586e-02 1.35779e-01 9.30724e-02 1.05063e-01 3.45884e-02 3.70947e-02
3.16228e-01 -1.08753e-01 8.03595e-02 -1.38657e-02 1.59850e-02 1.72614e-01 1.15905e-01 1.31856e-01 3.37334e-02 3.69266e-02
