#           x    enthalpy diffusivity temperature    porosity liquid_fraction 
+6.56250e+00 +9.19459e-01 +2.32069e+00 +7.53792e-01 +1.53634e-08 +1.34267e-02
+6.87500e+00 +9.71180e-01 +2.33536e+00 +7.88133e-01 +1.49180e-08 +1.97410e-02
+7.18750e+00 +1.02676e+00 +2.34697e+00 +8.23642e-01 +1.45336e-08 +2.97712e-02
+7.50000e+00 +1.08961e+00 +2.35351e+00 +8.61580e-01 +1.42073e-08 +4.70721e-02
+7.81250e+00 +1.16161e+00 +2.34966e+00 +9.01209e-01 +1.39296e-08 +7.85428e-02
+8.12500e+00 +1.25240e+00 +2.32150e+00 +9.43114e-01 +1.36999e-08 +1.44990e-01
+8.28125e+00 +1.31306e+00 +2.28466e+00 +9.64764e-01 +1.35822e-08 +2.11681e-01
+8.43750e+00 +1.39916e+00 +2.20665e+00 +9.86202e-01 +1.34710e-08 +3.40178e-01
+8.51562e+00 +1.46349e+00 +2.13470e+00 +9.96758e-01 +1.34230e-08 +4.56335e-01
+8.59375e+00 +1.53213e+00 +2.05833e+00 +1.00644e+00 +1.33783e-08 +5.85403e-01
+8.67188e+00 +1.58772e+00 +2.00749e+00 +1.01578e+00 +1.33352e-08 +6.82686e-01
+8.75000e+00 +1.62906e+00 +1.98028e+00 +1.02466e+00 +1.32930e-08 +7.46375e-01
+8.90625e+00 +1.69313e+00 +1.95893e+00 +1.04245e+00 +1.32065e-08 +8.27037e-01
+9.06250e+00 +1.74418e+00 +1.95951e+00 +1.06014e+00 +1.31237e-08 +8.75618e-01
+9.21875e+00 +1.78983e+00 +1.97142e+00 +1.07830e+00 +1.30458e-08 +9.08665e-01
+9.37500e+00 +1.83271e+00 +1.99064e+00 +1.09703e+00 +1.29747e-08 +9.32287e-01
+9.68750e+00 +1.91592e+00 +2.04423e+00 +1.13688e+00 +1.28606e-08 +9.62773e-01
+9.84375e+00 +1.95754e+00 +2.07674e+00 +1.15807e+00 +1.28017e-08 +9.72565e-01
+1.00000e+01 +2.00012e+00 +2.11267e+00 +1.18035e+00 +1.27448e-08 +9.79979e-01
+1.01562e+01 +2.04380e+00 +2.15160e+00 +1.20369e+00 +1.26937e-08 +9.85538e-01
+1.03125e+01 +2.08927e+00 +2.19372e+00 +1.22837e+00 +1.26466e-08 +9.89709e-01
+1.06250e+01 +2.18640e+00 +2.28715e+00 +1.28195e+00 +1.25626e-08 +9.95044e-01
+1.09375e+01 +2.29553e+00 +2.39510e+00 +1.34292e+00 +1.24887e-08 +9.97826e-01
+1.12500e+01 +2.42058e+00 +2.52043e+00 +1.41326e+00 +1.24217e-08 +9.99156e-01
+1.15625e+01 +2.56884e+00 +2.66983e+00 +1.49690e+00 +1.23541e-08 +9.99725e-01
+1.18750e+01 +2.74874e+00 +2.85145e+00 +1.59851e+00 +1.23124e-08 +9.99930e-01
+1.21875e+01 +2.96757e+00 +3.07249e+00 +1.72216e+00 +1.22558e-08 +9.99987e-01
+1.25000e+01 +3.21945e+00 +3.32693e+00 +1.86449e+00 +1.22217e-08 +9.99998e-01
+1.28125e+01 +3.47706e+00 +3.58715e+00 +2.01006e+00 +1.21729e-08 +1.00000e+00
+1.31250e+01 +3.68146e+00 +3.79363e+00 +2.12557e+00 +1.21468e-08 +1.00000e+00
+1.32812e+01 +3.74362e+00 +3.85643e+00 +2.16070e+00 +1.21898e-08 +1.00000e+00
+1.34375e+01 +3.77094e+00 +3.88403e+00 +2.17614e+00 +1.21157e-08 +1.00000e+00
+1.35938e+01 +3.75755e+00 +3.87050e+00 +2.16857e+00 +6.36653e-16 +1.00000e+00
+1.37500e+01 +3.70224e+00 +3.81463e+00 +2.13731e+00 +2.04921e-08 +1.00000e+00
+1.39062e+01 +3.60461e+00 +3.71601e+00 +2.08214e+00 +4.29362e-08 +1.00000e+00
+1.40625e+01 +3.46879e+00 +3.57880e+00 +2.00539e+00 +1.20155e-07 +1.00000e+00
+1.42188e+01 +3.29955e+00 +3.40785e+00 +1.90976e+00 -5.89535e-19 +9.99999e-01
+1.43750e+01 +3.10471e+00 +3.21102e+00 +1.79965e+00 +1.89549e-06 +9.99995e-01
+1.45312e+01 +2.89183e+00 +2.99595e+00 +1.67936e+00 +9.51000e-06 +9.99976e-01
+1.46875e+01 +2.66916e+00 +2.77095e+00 +1.55355e+00 +5.13849e-05 +9.99872e-01
+1.48438e+01 +2.44433e+00 +2.54361e+00 +1.42665e+00 +2.82082e-04 +9.99295e-01
+1.50000e+01 +2.22119e+00 +2.31779e+00 +1.30133e+00 +1.52493e-03 +9.96188e-01
+1.51562e+01 +2.00222e+00 +2.09783e+00 +1.18146e+00 +7.88443e-03 +9.80289e-01
+1.52344e+01 +1.88845e+00 +1.98779e+00 +1.12330e+00 +1.81800e-02 +9.54550e-01
+1.53125e+01 +1.76374e+00 +1.87772e+00 +1.06768e+00 +4.36464e-02 +8.90884e-01
+1.53516e+01 +1.68609e+00 +1.81835e+00 +1.04025e+00 +7.22880e-02 +8.19280e-01
+1.53906e+01 +1.58140e+00 +1.74865e+00 +1.01458e+00 +1.31113e-01 +6.72217e-01
+1.54102e+01 +1.48792e+00 +1.68744e+00 +1.00018e+00 +1.98997e-01 +5.02508e-01
+1.54297e+01 +1.39655e+00 +1.62236e+00 +9.85695e-01 +2.65701e-01 +3.35747e-01
+1.54492e+01 +1.33794e+00 +1.58086e+00 +9.72037e-01 +3.02065e-01 +2.44836e-01
+1.54688e+01 +1.29273e+00 +1.55129e+00 +9.58123e-01 +3.25155e-01 +1.87113e-01
+1.55078e+01 +1.22196e+00 +1.51138e+00 +9.30239e-01 +3.52531e-01 +1.18672e-01
+1.55469e+01 +1.16473e+00 +1.48493e+00 +9.02816e-01 +3.67891e-01 +8.02734e-02
+1.56250e+01 +1.07057e+00 +1.45002e+00 +8.50376e-01 +3.83596e-01 +4.10105e-02
+1.57812e+01 +9.19901e-01 +1.40501e+00 +7.54091e-01 +3.94612e-01 +1.34712e-02
+1.59375e+01 +7.98569e-01 +1.37019e+00 +6.69720e-01 +3.97833e-01 +5.41627e-03
+1.60938e+01 +6.96533e-01 +1.33900e+00 +5.95338e-01 +3.98997e-01 +2.50738e-03
+1.62500e+01 +6.09757e-01 +1.31023e+00 +5.29835e-01 +3.99480e-01 +1.30081e-03
+1.64062e+01 +5.35034e-01 +1.28340e+00 +4.71764e-01 +3.99704e-01 +7.38897e-04
+1.65625e+01 +4.70397e-01 +1.25841e+00 +4.20235e-01 +3.99819e-01 +4.52920e-04
+1.67188e+01 +4.14097e-01 +1.23514e+00 +3.74318e-01 +3.99882e-01 +2.95690e-04
+1.68750e+01 +3.64925e-01 +1.21352e+00 +3.33381e-01 +3.99918e-01 +2.03741e-04
+1.70312e+01 +3.21812e-01 +1.19348e+00 +2.96813e-01 +3.99941e-01 +1.46974e-04
+1.71875e+01 +2.83943e-01 +1.17497e+00 +2.64147e-01 +3.99956e-01 +1.10319e-04
+1.73438e+01 +2.50613e-01 +1.15791e+00 +2.34953e-01 +3.99966e-01 +8.57021e-05
+1.75000e+01 +2.21247e-01 +1.14224e+00 +2.08872e-01 +3.99973e-01 +6.86071e-05
+1.76562e+01 +1.95348e-01 +1.12789e+00 +1.85579e-01 +3.99977e-01 +5.63838e-05
+1.78125e+01 +1.72493e-01 +1.11479e+00 +1.64791e-01 +3.99981e-01 +4.74192e-05
+1.79688e+01 +1.52316e-01 +1.10286e+00 +1.46250e-01 +3.99982e-01 +4.06974e-05
+1.81250e+01 +1.34499e-01 +1.09204e+00 +1.29726e-01 +3.99982e-01 +3.55584e-05
+1.82812e+01 +1.18763e-01 +1.08224e+00 +1.15012e-01 +3.99982e-01 +3.15621e-05
