# pressure delta_p
59.7617 0.0882088
61.1766 0.131413
62.0416 0.39964
66.2427 0.189019
67.8111 0.639064
75.1651 0.309631
76.2279 0.880288
86.0913 0.536454
91.0646 1.21152
91.921  0.585059
97.6871 1.26913
102.368 0.939694
150.255 1.63996
188.101 1.80918
190.76  1.72097
269.708 2.0198
348.886 1.85239
438.81  2.0306
493.275 1.85599
531.63  1.80738
653.192 1.70117
678.111 1.87039
1062.73 1.40234
