#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
0.29423 1.4913 -0.00032686 -0.00011723 4.0274e-23 1.3698 0.88671 0.5
0.30816 1.4759 -0.00043409 8.6768e-06 2.4672e-23 1.3697 0.87174 0.5
-0.028718 1.8547 -0.00010969 -0.00022707 -2.3202e-24 1.9023 0.095243 0.5
-0.028862 1.8543 -0.0001158 -0.00019904 8.2245e-25 1.9026 0.082708 0.5
-0.020573 1.8418 -0.00013061 -0.00022062 -8.5573e-25 1.8944 0.08843 0.5
-0.036003 1.8659 -9.8344e-05 -0.00020551 -1.4601e-24 1.9097 0.08901 0.5
0.20465 1.5717 -0.00038286 -0.00036664 7.3378e-24 1.7164 0.2754 0.5
0.19761 1.5786 -0.00036544 -0.00040866 4.5786e-23 1.7174 0.2873 0.5
0.18212 1.5952 -0.00034804 -0.0004526 -9.1055e-24 1.7285 0.2816 0.5
-0.012816 1.8364 -8.7074e-05 -0.00048512 -6.3601e-25 1.8816 0.2023 0.5
-0.02493 1.8558 -6.2143e-05 -0.0004617 -8.3023e-25 1.8937 0.20394 0.5
-0.020032 1.8465 -7.9419e-05 -0.00045029 -1.6366e-25 1.8892 0.19182 0.5
-0.00092846 2 0 0 0 1.7673 0.9362 0.5
0.0066173 1.9743 0.0002139 -0.00040525 1.0003e-24 1.7453 0.93376 0.5
0.0013063 2 0 0 0 1.7593 0.95115 0.5
0.27277 1.518 -0.00010897 -0.00033503 -3.7403e-23 1.287 0.99544 0.5
0.29052 1.495 -0.00028764 -0.00015603 -1.0283e-23 1.2735 0.98795 0.5
0.27044 1.5221 -6.4302e-05 -0.00036903 -2.8198e-23 1.276 1.0103 0.5
0.12881 1.6561 -0.00021364 -0.00072039 -1.4659e-24 1.7499 0.33917 0.5
0.14411 1.6377 -0.00024955 -0.00065644 -1.4656e-24 1.7406 0.33046 0.5
0.14604 1.6357 -0.00024232 -0.00067295 1.1778e-23 1.7369 0.3423 0.5
0.15575 1.7937 0.0017273 -0.0014485 -2.634e-23 1.1844 1.3546 0.5
0.15901 1.7798 0.0017109 -0.0014583 4.1707e-23 1.1874 1.3359 0.5
0.16326 1.7716 0.0017186 -0.0014371 -1.1518e-23 1.1673 1.3407 0.5
