#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.33333e-03 -5.61929e-04 -6.01112e-04 -6.93385e-04 -1.07544e-03
2.50000e-02 -1.68805e-03 -1.80360e-03 -2.08021e-03 -3.22602e-03
4.16667e-02 -2.81960e-03 -3.00710e-03 -3.46728e-03 -5.37647e-03
5.83333e-02 -3.95930e-03 -4.21211e-03 -4.85498e-03 -7.52726e-03
7.50000e-02 -5.10752e-03 -5.41923e-03 -6.24371e-03 -9.67997e-03
9.16667e-02 -6.25959e-03 -6.62902e-03 -7.63437e-03 -1.18366e-02
1.08333e-01 -7.41119e-03 -7.84229e-03 -9.02743e-03 -1.39982e-02
1.25000e-01 -8.55995e-03 -9.05979e-03 -1.04236e-02 -1.61655e-02
1.41667e-01 -9.70681e-03 -1.02819e-02 -1.18235e-02 -1.83391e-02
1.58333e-01 -1.08545e-02 -1.15090e-02 -1.32278e-02 -2.05185e-02
1.75000e-01 -1.20054e-02 -1.27413e-02 -1.46377e-02 -2.27041e-02
1.91667e-01 -1.31641e-02 -1.39797e-02 -1.60545e-02 -2.48968e-02
2.08333e-01 -1.43363e-02 -1.52249e-02 -1.74796e-02 -2.70959e-02
2.25000e-01 -1.55230e-02 -1.64780e-02 -1.89143e-02 -2.93033e-02
2.41667e-01 -1.67237e-02 -1.77400e-02 -2.03596e-02 -3.15222e-02
2.58333e-01 -1.79349e-02 -1.90121e-02 -2.18163e-02 -3.37551e-02
2.75000e-01 -1.91552e-02 -2.02954e-02 -2.32854e-02 -3.60046e-02
2.91667e-01 -2.03843e-02 -2.15913e-02 -2.47679e-02 -3.82720e-02
3.08333e-01 -2.16221e-02 -2.29016e-02 -2.62654e-02 -4.05555e-02
3.25000e-01 -2.28714e-02 -2.42278e-02 -2.77800e-02 -4.28557e-02
3.41667e-01 -2.41334e-02 -2.55715e-02 -2.93151e-02 -4.51765e-02
3.58333e-01 -2.54118e-02 -2.69346e-02 -3.08737e-02 -4.75251e-02
3.75000e-01 -2.67144e-02 -2.83203e-02 -3.24591e-02 -4.99059e-02
3.91667e-01 -2.80499e-02 -2.97336e-02 -3.40755e-02 -5.23228e-02
4.08333e-01 -2.94237e-02 -3.11804e-02 -3.57279e-02 -5.47817e-02
4.25000e-01 -3.08396e-02 -3.26689e-02 -3.74242e-02 -5.72911e-02
4.41667e-01 -3.23070e-02 -3.42112e-02 -3.91785e-02 -5.98664e-02
4.58333e-01 -3.38436e-02 -3.58300e-02 -4.10173e-02 -6.25294e-02
4.75000e-01 -3.54835e-02 -3.75603e-02 -4.29803e-02 -6.53294e-02
4.91667e-01 -3.72572e-02 -3.94335e-02 -4.50972e-02 -6.82658e-02
5.00000e-01 -3.81942e-02 -4.04238e-02 -4.62134e-02 -6.97852e-02
