#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.81136 1.2382 0.010268 -0.00014846 17 2
0.83373 1.2051 0.010372 -5.6371e-05 18 2
0.85672 1.1729 0.010418 2.6511e-05 19 2
0.88023 1.1417 0.010414 0.00010265 20 2
0.90416 1.1116 0.010369 0.00017358 21 2
0.92839 1.0827 0.010289 0.00023961 22 2
0.95284 1.0551 0.010177 0.00029925 23 2
0.97741 1.0287 0.010033 0.00035314 24 2
1.002 1.0036 0.0098579 0.00040678 25 2
1.0265 0.97978 0.0096473 0.00046401 26 2
1.0509 0.95719 0.0094023 0.00051172 27 2
1.075 0.93583 0.0091313 0.00054478 28 2
1.0988 0.9157 0.0088381 0.00057387 29 2
1.1222 0.89677 0.0085263 0.00060082 30 2
1.1451 0.879 0.0081976 0.00062505 31 2
1.1673 0.86237 0.0078522 0.00064606 32 2
1.1889 0.84686 0.0074906 0.00066448 33 2
1.2096 0.83243 0.0071139 0.00068134 34 2
1.2295 0.81906 0.0067236 0.00069677 35 2
1.2485 0.8067 0.0063205 0.00071067 36 2
1.2665 0.79534 0.005906 0.00072306 37 2
1.2835 0.78495 0.0054814 0.00073424 38 2
1.2993 0.77548 0.005048 0.00074446 39 2
1.3139 0.76693 0.0046075 0.0007534 40 2
1.3273 0.75927 0.0041616 0.00076105 41 2
1.3394 0.75246 0.0037114 0.00076748 42 2
1.3502 0.7465 0.0032575 0.00077272 43 2
1.3596 0.74138 0.0028 0.00077693 44 2
1.3677 0.73706 0.0023389 0.00078017 45 2
1.3743 0.73355 0.001874 0.00078245 46 2
1.3795 0.73083 0.0014067 0.00078406 47 2
1.3832 0.72888 0.00093844 0.00078605 48 2
1.3854 0.7277 0.00048903 0.00078831 49 2
1.3862 0.72731 0.00027399 0.00078929 50 2
0.63103 1.5917 0.00052806 -0.0024891 0 3
0.6318 1.5897 0.00080927 -0.0025055 1 3
0.63409 1.5839 0.0014733 -0.002509 2 3
0.63783 1.5746 0.0022306 -0.0024638 3 3
0.64302 1.5619 0.002977 -0.0023867 4 3
0.64965 1.546 0.003706 -0.0022861 5 3
