#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -1.91997e-03 1.21886e-01 -1.97367e-05 9.36060e-04 7.19289e-04 6.86516e-04 6.96067e-04 4.57487e-02 4.44380e-02
3.98107e-03 -2.41416e-03 1.21693e-01 -3.11353e-05 1.17513e-03 9.11515e-04 8.59751e-04 8.74834e-04 4.60111e-02 4.47115e-02
5.01187e-03 -3.03460e-03 1.21450e-01 -4.90584e-05 1.47418e-03 1.15694e-03 1.07525e-03 1.09905e-03 4.63387e-02 4.50530e-02
6.30957e-03 -3.81296e-03 1.21147e-01 -7.71826e-05 1.84764e-03 1.47127e-03 1.34251e-03 1.38001e-03 4.67462e-02 4.54785e-02
7.94328e-03 -4.78855e-03 1.20766e-01 -1.21201e-04 2.31303e-03 1.87534e-03 1.67266e-03 1.73166e-03 4.72518e-02 4.60070e-02
1.00000e-02 -6.00989e-03 1.20291e-01 -1.89875e-04 2.89144e-03 2.39701e-03 2.07851e-03 2.17119e-03 4.78767e-02 4.66614e-02
1.25893e-02 -7.53663e-03 1.19699e-01 -2.96583e-04 3.60789e-03 3.07377e-03 2.57437e-03 2.71960e-03 4.86451e-02 4.74680e-02
1.58489e-02 -9.44140e-03 1.18962e-01 -4.61544e-04 4.49144e-03 3.95638e-03 3.17549e-03 3.40242e-03 4.95841e-02 4.84565e-02
1.99526e-02 -1.18122e-02 1.18048e-01 -7.14961e-04 5.57517e-03 5.11413e-03 3.89720e-03 4.25056e-03 5.07222e-02 4.96596e-02
2.51189e-02 -1.47538e-02 1.16919e-01 -1.10119e-03 6.89516e-03 6.64164e-03 4.75318e-03 5.30096e-03 5.20875e-02 5.11104e-02
3.16228e-02 -1.83890e-02 1.15532e-01 -1.68409e-03 8.48860e-03 8.66824e-03 5.75296e-03 6.59754e-03 5.37033e-02 5.28396e-02
3.98107e-02 -2.28587e-02 1.13840e-01 -2.55307e-03 1.03904e-02 1.13702e-02 6.89866e-03 8.19218e-03 5.55819e-02 5.48699e-02
5.01187e-02 -2.83187e-02 1.11794e-01 -3.82909e-03 1.26274e-02 1.49855e-02 8.18096e-03 1.01460e-02 5.77160e-02 5.72082e-02
6.30957e-02 -3.49334e-02 1.09347e-01 -5.66774e-03 1.52101e-02 1.98313e-02 9.57540e-03 1.25312e-02 6.00654e-02 5.98340e-02
7.94328e-02 -4.28637e-02 1.06462e-01 -8.25512e-03 1.81216e-02 2.63210e-02 1.10409e-02 1.54346e-02 6.25427e-02 6.26861e-02
1.00000e-01 -5.22474e-02 1.03120e-01 -1.17886e-02 2.13043e-02 3.49789e-02 1.25239e-02 1.89643e-02 6.49982e-02 6.56480e-02
1.25893e-01 -6.31733e-02 9.93197e-02 -1.64357e-02 2.46483e-02 4.64440e-02 1.39728e-02 2.32606e-02 6.72124e-02 6.85371e-02
1.58489e-01 -7.56477e-02 9.50904e-02 -2.22709e-02 2.79836e-02 6.14603e-02 1.53673e-02 2.85153e-02 6.89015e-02 7.11024e-02
1.99526e-01 -8.95651e-02 9.04816e-02 -2.92040e-02 3.10855e-02 8.08487e-02 1.67677e-02 3.50026e-02 6.97481e-02 7.30419e-02
2.51189e-01 -7.75838e-02 5.94452e-02 -1.27440e-02 1.74249e-02 7.97587e-02 3.75407e-02 4.96586e-02 1.17482e-01 1.19987e-01
3.16228e-01 4.65759e-01 -1.69017e-01 3.88933e-01 2.91507e-01 3.71818e-01 -1.59104e-01 -2.52732e-03 7.85189e-01 8.13017e-01
