#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P         DU0          DT0          p0        T_B0
3.162280e-03 -2.56016e-03 1.15987e-01 -1.12875e-04 2.96946e-03 3.29946e-04 2.40013e-04 2.70791e-04 1.18117e-01 1.05519e-01 7.08241e+00 -9.31188e+00 2.05519e+00 1.03143e+00
3.981070e-03 -3.22310e-03 1.15881e-01 -1.78227e-04 3.73498e-03 4.31338e-04 2.89253e-04 3.37848e-04 1.18597e-01 1.06107e-01 7.05479e+00 -9.26343e+00 2.06107e+00 1.03957e+00
5.011870e-03 -4.05767e-03 1.15747e-01 -2.81141e-04 4.69666e-03 5.68146e-04 3.43850e-04 4.20501e-04 1.19200e-01 1.06845e-01 7.02039e+00 -9.20304e+00 2.06845e+00 1.04979e+00
6.309570e-03 -5.10824e-03 1.15577e-01 -4.42928e-04 5.90397e-03 7.54724e-04 4.01017e-04 5.21773e-04 1.19959e-01 1.07771e-01 6.97768e+00 -9.12796e+00 2.07771e+00 1.06266e+00
7.943280e-03 -6.43055e-03 1.15360e-01 -6.96709e-04 7.41832e-03 1.01201e-03 4.54955e-04 6.44898e-04 1.20912e-01 1.08933e-01 6.92484e+00 -9.03490e+00 2.08933e+00 1.07882e+00
1.000000e-02 -8.09460e-03 1.15083e-01 -1.09368e-03 9.31557e-03 1.37074e-03 4.94876e-04 7.93066e-04 1.22109e-01 1.10386e-01 6.85975e+00 -8.92001e+00 2.10386e+00 1.09912e+00
1.258930e-02 -1.01880e-02 1.14729e-01 -1.71244e-03 1.16887e-02 1.87622e-03 5.01947e-04 9.68931e-04 1.23610e-01 1.12200e-01 6.77999e+00 -8.77887e+00 2.12200e+00 1.12459e+00
1.584890e-02 -1.28202e-02 1.14275e-01 -2.67239e-03 1.46504e-02 2.59527e-03 4.44685e-04 1.17376e-03 1.25486e-01 1.14460e-01 6.68291e+00 -8.60655e+00 2.14460e+00 1.15646e+00
1.995260e-02 -1.61270e-02 1.13692e-01 -4.15297e-03 1.83351e-02 3.62650e-03 2.72160e-04 1.40610e-03 1.27826e-01 1.17261e-01 6.56571e+00 -8.39769e+00 2.17261e+00 1.19623e+00
2.511890e-02 -2.02757e-02 1.12940e-01 -6.41915e-03 2.28995e-02 5.11443e-03 -9.56845e-05 1.65956e-03 1.30728e-01 1.20714e-01 6.42556e+00 -8.14688e+00 2.20714e+00 1.24567e+00
3.162280e-02 -2.54696e-02 1.11971e-01 -9.85370e-03 2.85186e-02 7.26903e-03 -7.81270e-04 1.91973e-03 1.34301e-01 1.24933e-01 6.25992e+00 -7.84896e+00 2.24933e+00 1.30670e+00
3.981070e-02 -3.19504e-02 1.10722e-01 -1.49936e-02 3.53761e-02 1.03912e-02 -1.96654e-03 2.15976e-03 1.38652e-01 1.30030e-01 6.06675e+00 -7.49971e+00 2.30030e+00 1.38138e+00
5.011870e-02 -3.99968e-02 1.09117e-01 -2.25619e-02 4.36433e-02 1.49035e-02 -3.91337e-03 2.33486e-03 1.43871e-01 1.36087e-01 5.84487e+00 -7.09650e+00 2.36087e+00 1.47155e+00
6.309570e-02 -4.99141e-02 1.07067e-01 -3.34790e-02 5.34415e-02 2.13836e-02 -6.98477e-03 2.37626e-03 1.49993e-01 1.43127e-01 5.59419e+00 -6.63910e+00 2.43127e+00 1.57850e+00
7.943280e-02 -6.20094e-02 1.04475e-01 -4.88257e-02 6.47847e-02 3.05941e-02 -1.16616e-02 2.18622e-03 1.56962e-01 1.51065e-01 5.31590e+00 -6.13041e+00 2.51065e+00 1.70230e+00
1.000000e-01 -7.65492e-02 1.01248e-01 -6.97214e-02 7.75047e-02 4.34956e-02 -1.85460e-02 1.63715e-03 1.64575e-01 1.59661e-01 5.01232e+00 -5.57691e+00 2.59661e+00 1.84110e+00
1.258930e-01 -9.36948e-02 9.73060e-02 -9.70893e-02 9.11708e-02 6.12299e-02 -2.83382e-02 5.79248e-04 1.72434e-01 1.68475e-01 4.68680e+00 -4.98884e+00 2.68475e+00 1.99044e+00
1.584890e-01 -1.13422e-01 9.26042e-02 -1.31303e-01 1.05033e-01 8.50501e-02 -4.17746e-02 -1.13831e-03 1.79930e-01 1.76854e-01 4.34343e+00 -4.38001e+00 2.76854e+00 2.14289e+00
1.995260e-01 -1.35443e-01 8.71464e-02 -1.71790e-01 1.18034e-01 1.16197e-01 -5.95197e-02 -3.62957e-03 1.86268e-01 1.83969e-01 3.98688e+00 -3.76704e+00 2.83969e+00 2.28835e+00
2.511890e-01 -1.59157e-01 8.09973e-02 -2.16702e-01 1.28913e-01 1.55711e-01 -8.20110e-02 -6.91717e-03 1.90561e-01 1.88909e-01 3.62243e+00 -3.16827e+00 2.88909e+00 2.41503e+00
3.162280e-01 -1.83649e-01 7.42832e-02 -2.62860e-01 1.36420e-01 2.04230e-01 -1.09286e-01 -1.08687e-02 1.91974e-01 1.90835e-01 3.25592e+00 -2.60207e+00 2.90835e+00 2.51131e+00
