#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -2.56016e-03 1.15988e-01 -1.14411e-04 2.96946e-03 3.29232e-04 2.41455e-04 2.70063e-04 1.18114e-01 1.05518e-01
3.98107e-03 -3.22310e-03 1.15882e-01 -1.80671e-04 3.73498e-03 4.30207e-04 2.91538e-04 3.36695e-04 1.18593e-01 1.06105e-01
5.01187e-03 -4.05767e-03 1.15749e-01 -2.85032e-04 4.69666e-03 5.66353e-04 3.47470e-04 4.18673e-04 1.19193e-01 1.06841e-01
6.30957e-03 -5.10823e-03 1.15579e-01 -4.49128e-04 5.90396e-03 7.51884e-04 4.06751e-04 5.18877e-04 1.19948e-01 1.07765e-01
7.94328e-03 -6.43055e-03 1.15364e-01 -7.06602e-04 7.41831e-03 1.00751e-03 4.64037e-04 6.40313e-04 1.20895e-01 1.08923e-01
1.00000e-02 -8.09459e-03 1.15089e-01 -1.10949e-03 9.31555e-03 1.36362e-03 5.09254e-04 7.85808e-04 1.22082e-01 1.10371e-01
1.25893e-02 -1.01880e-02 1.14739e-01 -1.73777e-03 1.16887e-02 1.86495e-03 5.24695e-04 9.57449e-04 1.23565e-01 1.12177e-01
1.58489e-02 -1.28201e-02 1.14291e-01 -2.71305e-03 1.46503e-02 2.57746e-03 4.80646e-04 1.15562e-03 1.25415e-01 1.14423e-01
1.99526e-02 -1.61269e-02 1.13719e-01 -4.21844e-03 1.83351e-02 3.59838e-03 3.28937e-04 1.37745e-03 1.27711e-01 1.17205e-01
2.51189e-02 -2.02757e-02 1.12983e-01 -6.52488e-03 2.28994e-02 5.07010e-03 -6.20954e-06 1.61442e-03 1.30542e-01 1.20624e-01
3.16228e-02 -2.54694e-02 1.12042e-01 -1.00251e-02 2.85184e-02 7.19935e-03 -6.40658e-04 1.84880e-03 1.34001e-01 1.24793e-01
3.98107e-02 -3.19502e-02 1.10839e-01 -1.52722e-02 3.53759e-02 1.02821e-02 -1.74646e-03 2.04875e-03 1.38167e-01 1.29811e-01
5.01187e-02 -3.99966e-02 1.09308e-01 -2.30163e-02 4.36429e-02 1.47337e-02 -3.57083e-03 2.16213e-03 1.43087e-01 1.35746e-01
6.30957e-02 -4.99137e-02 1.07381e-01 -3.42213e-02 5.34408e-02 2.11214e-02 -6.45582e-03 2.10959e-03 1.48733e-01 1.42600e-01
7.94328e-02 -6.20088e-02 1.04993e-01 -5.00361e-02 6.47837e-02 3.01931e-02 -1.08534e-02 1.77881e-03 1.54952e-01 1.50261e-01
1.00000e-01 -7.65482e-02 1.02090e-01 -7.16785e-02 7.75032e-02 4.28910e-02 -1.73273e-02 1.02310e-03 1.61406e-01 1.58449e-01
1.25893e-01 -9.36934e-02 9.86562e-02 -1.00187e-01 9.11687e-02 6.03334e-02 -2.65316e-02 -3.30839e-04 1.67531e-01 1.66680e-01
1.58489e-01 -1.13419e-01 9.47098e-02 -1.36024e-01 1.05030e-01 8.37482e-02 -3.91518e-02 -2.45925e-03 1.72533e-01 1.74248e-01
1.99526e-01 -1.35440e-01 9.03090e-02 -1.78610e-01 1.18030e-01 1.14355e-01 -5.58101e-02 -5.49739e-03 1.75475e-01 1.80284e-01
2.51189e-01 -1.59152e-01 8.55342e-02 -2.25942e-01 1.28908e-01 1.53190e-01 -7.69342e-02 -9.47280e-03 1.75459e-01 1.83868e-01
3.16228e-01 -1.83643e-01 8.04700e-02 -2.74551e-01 1.36414e-01 2.00916e-01 -1.02614e-01 -1.42271e-02 1.71830e-01 1.84212e-01
