#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P         DU0          DT0          p0        T_B0
3.162280e-03 -1.76763e-03 1.24121e-01 -4.73145e-08 4.38799e-05 1.40134e-02 1.40118e-02 1.40123e-02 2.25942e-03 2.25923e-03 9.93238e-02 -2.60659e-03 1.00045e+00 1.00002e+00
3.981070e-03 -2.22130e-03 1.23897e-01 -7.45833e-08 5.50425e-05 1.76421e-02 1.76395e-02 1.76403e-02 2.27388e-03 2.27370e-03 9.91446e-02 -2.59720e-03 1.00045e+00 1.00002e+00
5.011870e-03 -2.79012e-03 1.23617e-01 -1.17405e-07 6.89810e-05 2.22106e-02 2.22065e-02 2.22077e-02 2.29192e-03 2.29174e-03 9.89199e-02 -2.58544e-03 1.00046e+00 1.00003e+00
6.309570e-03 -3.50257e-03 1.23265e-01 -1.84491e-07 8.63489e-05 2.79623e-02 2.79557e-02 2.79577e-02 2.31437e-03 2.31419e-03 9.86385e-02 -2.57075e-03 1.00046e+00 1.00003e+00
7.943280e-03 -4.39376e-03 1.22825e-01 -2.89281e-07 1.07933e-04 3.52036e-02 3.51933e-02 3.51964e-02 2.34222e-03 2.34204e-03 9.82864e-02 -2.55244e-03 1.00047e+00 1.00004e+00
1.000000e-02 -5.50670e-03 1.22276e-01 -4.52359e-07 1.34668e-04 4.43205e-02 4.43043e-02 4.43092e-02 2.37663e-03 2.37645e-03 9.78468e-02 -2.52966e-03 1.00048e+00 1.00005e+00
1.258930e-02 -6.89378e-03 1.21592e-01 -7.04974e-07 1.67646e-04 5.57992e-02 5.57739e-02 5.57816e-02 2.41896e-03 2.41878e-03 9.72989e-02 -2.50142e-03 1.00048e+00 1.00007e+00
1.584890e-02 -8.61802e-03 1.20741e-01 -1.09401e-06 2.08110e-04 7.02510e-02 7.02114e-02 7.02234e-02 2.47070e-03 2.47053e-03 9.66179e-02 -2.46653e-03 1.00049e+00 1.00008e+00
1.995260e-02 -1.07548e-02 1.19687e-01 -1.68887e-06 2.57442e-04 8.84475e-02 8.83858e-02 8.84046e-02 2.53347e-03 2.53331e-03 9.57739e-02 -2.42363e-03 1.00051e+00 1.00010e+00
2.511890e-02 -1.33924e-02 1.18386e-01 -2.59032e-06 3.17094e-04 1.11359e-01 1.11264e-01 1.11293e-01 2.60891e-03 2.60876e-03 9.47320e-02 -2.37120e-03 1.00052e+00 1.00013e+00
3.162280e-02 -1.66325e-02 1.16787e-01 -3.94130e-06 3.88493e-04 1.40208e-01 1.40061e-01 1.40106e-01 2.69848e-03 2.69834e-03 9.34523e-02 -2.30758e-03 1.00054e+00 1.00016e+00
3.981070e-02 -2.05892e-02 1.14835e-01 -5.93848e-06 4.72874e-04 1.76534e-01 1.76308e-01 1.76377e-01 2.80323e-03 2.80310e-03 9.18895e-02 -2.23106e-03 1.00056e+00 1.00019e+00
5.011870e-02 -2.53864e-02 1.12469e-01 -8.84182e-06 5.71033e-04 2.22277e-01 2.21933e-01 2.22038e-01 2.92340e-03 2.92327e-03 8.99949e-02 -2.14003e-03 1.00058e+00 1.00023e+00
6.309570e-02 -3.11516e-02 1.09624e-01 -1.29767e-05 6.82994e-04 2.79878e-01 2.79361e-01 2.79518e-01 3.05790e-03 3.05779e-03 8.77179e-02 -2.03312e-03 1.00061e+00 1.00027e+00
7.943280e-02 -3.80079e-02 1.06242e-01 -1.87210e-05 8.07604e-04 3.52413e-01 3.51643e-01 3.51877e-01 3.20378e-03 3.20368e-03 8.50102e-02 -1.90956e-03 1.00064e+00 1.00032e+00
1.000000e-01 -4.60604e-02 1.02269e-01 -2.64650e-05 9.42109e-04 4.43753e-01 4.42622e-01 4.42966e-01 3.35557e-03 3.35549e-03 8.18301e-02 -1.76939e-03 1.00067e+00 1.00038e+00
1.258930e-01 -5.53803e-02 9.76707e-02 -3.65372e-05 1.08181e-03 5.58773e-01 5.57138e-01 5.57636e-01 3.50491e-03 3.50484e-03 7.81497e-02 -1.61382e-03 1.00070e+00 1.00043e+00
1.584890e-01 -6.59851e-02 9.24385e-02 -4.90900e-05 1.21991e-03 7.03598e-01 7.01277e-01 7.01984e-01 3.64045e-03 3.64040e-03 7.39619e-02 -1.44552e-03 1.00073e+00 1.00049e+00
1.995260e-01 -7.78224e-02 8.65980e-02 -6.39669e-05 1.34785e-03 8.85951e-01 8.82723e-01 8.83706e-01 3.74852e-03 3.74848e-03 6.92875e-02 -1.26860e-03 1.00075e+00 1.00054e+00
2.511890e-01 -9.07542e-02 8.02172e-02 -8.05811e-05 1.45601e-03 1.11553e+00 1.11114e+00 1.11248e+00 3.81446e-03 3.81442e-03 6.41810e-02 -1.08852e-03 1.00076e+00 1.00058e+00
3.162280e-01 -1.04554e-01 7.34078e-02 -9.78708e-05 1.53501e-03 1.40454e+00 1.39872e+00 1.40049e+00 3.82478e-03 3.82476e-03 5.87318e-02 -9.11536e-04 1.00076e+00 1.00061e+00
