#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -1.80688e-03 1.23501e-01 -5.90719e-06 4.46295e-04 1.41050e-03 1.39435e-03 1.39891e-03 2.26708e-02 2.24901e-02
3.98107e-03 -2.27101e-03 1.23285e-01 -9.32029e-06 5.59955e-04 1.77866e-03 1.75318e-03 1.76036e-03 2.28112e-02 2.26324e-02
5.01187e-03 -2.85316e-03 1.23017e-01 -1.46887e-05 7.01951e-04 2.24386e-03 2.20364e-03 2.21497e-03 2.29861e-02 2.28098e-02
6.30957e-03 -3.58266e-03 1.22680e-01 -2.31160e-05 8.78996e-04 2.83216e-03 2.76876e-03 2.78663e-03 2.32033e-02 2.30306e-02
7.94328e-03 -4.49570e-03 1.22259e-01 -3.63127e-05 1.09919e-03 3.57691e-03 3.47714e-03 3.50526e-03 2.34722e-02 2.33044e-02
1.00000e-02 -5.63675e-03 1.21734e-01 -5.69156e-05 1.37220e-03 4.52091e-03 4.36417e-03 4.40834e-03 2.38040e-02 2.36426e-02
1.25893e-02 -7.06009e-03 1.21081e-01 -8.89588e-05 1.70935e-03 5.71920e-03 5.47352e-03 5.54274e-03 2.42106e-02 2.40587e-02
1.58489e-02 -8.83129e-03 1.20272e-01 -1.38557e-04 2.12364e-03 7.24281e-03 6.85880e-03 6.96698e-03 2.47056e-02 2.45670e-02
1.99526e-02 -1.10290e-02 1.19273e-01 -2.14885e-04 2.62960e-03 9.18388e-03 8.58572e-03 8.75419e-03 2.53031e-02 2.51834e-02
2.51189e-02 -1.37459e-02 1.18045e-01 -3.31498e-04 3.24267e-03 1.16620e-02 1.07342e-02 1.09955e-02 2.60160e-02 2.59235e-02
3.16228e-02 -1.70893e-02 1.16545e-01 -5.08068e-04 3.97827e-03 1.48325e-02 1.34011e-02 1.38040e-02 2.68542e-02 2.68013e-02
3.98107e-02 -2.11803e-02 1.14728e-01 -7.72503e-04 4.85011e-03 1.88975e-02 1.67036e-02 1.73209e-02 2.78216e-02 2.78258e-02
5.01187e-02 -2.61511e-02 1.12547e-01 -1.16311e-03 5.86757e-03 2.41198e-02 2.07834e-02 2.17217e-02 2.89109e-02 2.89975e-02
6.30957e-02 -3.21392e-02 1.09961e-01 -1.73001e-03 7.03221e-03 3.08381e-02 2.58125e-02 2.72252e-02 3.00979e-02 3.03031e-02
7.94328e-02 -3.92773e-02 1.06940e-01 -2.53366e-03 8.33330e-03 3.94859e-02 3.20027e-02 3.41048e-02 3.13346e-02 3.17085e-02
1.00000e-01 -4.76790e-02 1.03470e-01 -3.63764e-03 9.74296e-03 5.06111e-02 3.96186e-02 4.27044e-02 3.25437e-02 3.31535e-02
1.25893e-01 -5.74201e-02 9.95576e-02 -5.09346e-03 1.12120e-02 6.48944e-02 4.90011e-02 5.34593e-02 3.36148e-02 3.45463e-02
1.58489e-01 -6.85146e-02 9.52349e-02 -6.92010e-03 1.26682e-02 8.31633e-02 6.05983e-02 6.69243e-02 3.44106e-02 3.57646e-02
1.99526e-01 -8.08956e-02 9.05516e-02 -9.08152e-03 1.40186e-02 1.06407e-01 7.50164e-02 8.38150e-02 3.47805e-02 3.66633e-02
2.51189e-01 -9.43971e-02 8.55704e-02 -1.14730e-02 1.51582e-02 1.35778e-01 9.30805e-02 1.05056e-01 3.45868e-02 3.70931e-02
3.16228e-01 -1.08751e-01 8.03582e-02 -1.39224e-02 1.59845e-02 1.72613e-01 1.15916e-01 1.31846e-01 3.37317e-02 3.69249e-02
