#           y      vel_x       p_xy        q_x
9.11486e-03 1.50170e-04 -1.15960e-03 -5.82133e-07
2.73446e-02 4.50520e-04 -1.15960e-03 -1.75500e-06
4.55743e-02 7.50901e-04 -1.15960e-03 -2.95382e-06
6.38040e-02 1.05133e-03 -1.15961e-03 -4.19631e-06
8.20338e-02 1.35184e-03 -1.15961e-03 -5.50083e-06
1.00263e-01 1.65245e-03 -1.15961e-03 -6.88668e-06
1.18493e-01 1.95318e-03 -1.15961e-03 -8.37435e-06
1.36723e-01 2.25405e-03 -1.15961e-03 -9.98582e-06
1.54953e-01 2.55511e-03 -1.15961e-03 -1.17449e-05
1.73182e-01 2.85637e-03 -1.15961e-03 -1.36777e-05
1.91412e-01 3.15787e-03 -1.15961e-03 -1.58127e-05
2.09642e-01 3.45966e-03 -1.15961e-03 -1.81815e-05
2.27872e-01 3.76177e-03 -1.15961e-03 -2.08191e-05
2.46101e-01 4.06424e-03 -1.15961e-03 -2.37646e-05
2.64331e-01 4.36714e-03 -1.15961e-03 -2.70615e-05
2.82561e-01 4.67052e-03 -1.15961e-03 -3.07585e-05
3.00790e-01 4.97445e-03 -1.15961e-03 -3.49103e-05
3.19020e-01 5.27900e-03 -1.15961e-03 -3.95783e-05
3.37250e-01 5.58424e-03 -1.15961e-03 -4.48312e-05
3.55480e-01 5.89029e-03 -1.15961e-03 -5.07450e-05
3.73542e-01 6.19440e-03 -1.15960e-03 -5.73373e-05
3.90466e-01 6.48024e-03 -1.15960e-03 -6.42599e-05
4.05551e-01 6.73586e-03 -1.15960e-03 -7.11238e-05
4.18998e-01 6.96444e-03 -1.15960e-03 -7.78449e-05
4.30985e-01 7.16883e-03 -1.15960e-03 -8.43623e-05
4.41671e-01 7.35157e-03 -1.15960e-03 -9.06247e-05
4.51195e-01 7.51493e-03 -1.15960e-03 -9.65938e-05
4.59686e-01 7.66094e-03 -1.15960e-03 -1.02242e-04
4.67254e-01 7.79143e-03 -1.15960e-03 -1.07553e-04
4.74001e-01 7.90802e-03 -1.15960e-03 -1.12518e-04
4.80015e-01 8.01218e-03 -1.15961e-03 -1.17132e-04
4.85375e-01 8.10522e-03 -1.15960e-03 -1.21417e-04
4.90154e-01 8.18831e-03 -1.15964e-03 -1.25320e-04
4.94413e-01 8.26251e-03 -1.15944e-03 -1.29062e-04
4.98210e-01 8.32875e-03 -1.16007e-03 -1.32057e-04
