#           y         L1         L2       Linf
9.11486e-03 5.36489e-06 5.28190e-06 7.83852e-06
2.73446e-02 5.45758e-06 5.42839e-06 8.47352e-06
4.55743e-02 5.65996e-06 5.72082e-06 9.27592e-06
6.38040e-02 5.98576e-06 6.15917e-06 1.02651e-05
8.20338e-02 6.53811e-06 6.74540e-06 1.14648e-05
1.00263e-01 7.25408e-06 7.48482e-06 1.29038e-05
1.18493e-01 8.11020e-06 8.38698e-06 1.46164e-05
1.36723e-01 9.13192e-06 9.46616e-06 1.66431e-05
1.54953e-01 1.03382e-05 1.07416e-05 1.90313e-05
1.73182e-01 1.17413e-05 1.22377e-05 2.18358e-05
1.91412e-01 1.33604e-05 1.39841e-05 2.51188e-05
2.09642e-01 1.52266e-05 1.60159e-05 2.89502e-05
2.27872e-01 1.73745e-05 1.83736e-05 3.34057e-05
2.46101e-01 1.98437e-05 2.11034e-05 3.85638e-05
2.64331e-01 2.26817e-05 2.42562e-05 4.45001e-05
2.82561e-01 2.59264e-05 2.78877e-05 5.12755e-05
3.00790e-01 2.96186e-05 3.20576e-05 5.89168e-05
3.19020e-01 3.37921e-05 3.68308e-05 6.73840e-05
3.37250e-01 3.84641e-05 4.22834e-05 7.65158e-05
3.55480e-01 4.37522e-05 4.85256e-05 8.59473e-05
3.73542e-01 5.15675e-05 5.56842e-05 9.49118e-05
3.90466e-01 6.06273e-05 6.36617e-05 1.01943e-04
4.05551e-01 7.06915e-05 7.24848e-05 1.05682e-04
4.18998e-01 8.24053e-05 8.26612e-05 1.08157e-04
4.30985e-01 9.60827e-05 9.48114e-05 1.25614e-04
4.41671e-01 1.10971e-04 1.09492e-04 1.44617e-04
4.51195e-01 1.27350e-04 1.27064e-04 1.68654e-04
4.59686e-01 1.44751e-04 1.47625e-04 2.15544e-04
4.67254e-01 1.64892e-04 1.71013e-04 2.67124e-04
4.74001e-01 1.86764e-04 1.96876e-04 3.22537e-04
4.80015e-01 2.13497e-04 2.24735e-04 3.80834e-04
4.85375e-01 2.43264e-04 2.54066e-04 4.41055e-04
4.90154e-01 2.73367e-04 2.84297e-04 5.02213e-04
4.94413e-01 3.03477e-04 3.14999e-04 5.63546e-04
4.98210e-01 3.32878e-04 3.45358e-04 6.23678e-04
