#           y         L1         L2       Linf
9.11486e-03 1.36445e-06 1.27142e-06 5.12861e-07
2.73446e-02 1.40747e-06 1.27632e-06 5.31117e-07
4.55743e-02 1.44941e-06 1.28605e-06 5.49063e-07
6.38040e-02 1.49024e-06 1.30047e-06 5.66733e-07
8.20338e-02 1.52987e-06 1.31941e-06 5.84174e-07
1.00263e-01 1.56815e-06 1.34256e-06 6.01372e-07
1.18493e-01 1.60512e-06 1.36981e-06 6.18502e-07
1.36723e-01 1.64031e-06 1.40056e-06 6.35310e-07
1.54953e-01 1.67377e-06 1.43473e-06 6.52030e-07
1.73182e-01 1.70521e-06 1.47194e-06 6.68628e-07
1.91412e-01 1.73432e-06 1.51186e-06 6.85104e-07
2.09642e-01 1.76083e-06 1.55423e-06 7.06659e-07
2.27872e-01 1.78421e-06 1.59867e-06 7.67235e-07
2.46101e-01 1.80444e-06 1.64535e-06 8.27971e-07
2.64331e-01 1.81965e-06 1.69282e-06 8.88322e-07
2.82561e-01 1.83372e-06 1.74517e-06 9.50055e-07
3.00790e-01 1.83126e-06 1.78870e-06 1.00755e-06
3.19020e-01 1.86084e-06 1.86921e-06 1.07911e-06
3.37250e-01 1.78866e-06 1.83827e-06 1.10679e-06
3.55480e-01 2.20605e-06 2.18836e-06 1.27016e-06
3.73542e-01 6.40189e-05 6.15946e-05 8.39221e-05
3.90466e-01 5.67134e-05 5.37209e-05 6.85440e-05
4.05551e-01 7.05915e-05 6.72206e-05 8.45843e-05
4.18998e-01 8.02985e-05 7.64527e-05 9.47647e-05
4.30985e-01 9.26772e-05 8.81135e-05 1.11217e-04
4.41671e-01 1.05896e-04 1.00430e-04 1.26909e-04
4.51195e-01 1.20456e-04 1.13946e-04 1.41789e-04
4.59686e-01 1.36440e-04 1.28638e-04 1.55912e-04
4.67254e-01 1.53566e-04 1.44700e-04 1.79933e-04
4.74001e-01 1.71824e-04 1.62329e-04 2.02995e-04
4.80015e-01 1.91594e-04 1.81769e-04 2.23934e-04
4.85375e-01 2.13394e-04 2.03403e-04 2.55198e-04
4.90154e-01 2.40419e-04 2.28246e-04 2.90901e-04
4.94413e-01 2.75714e-04 2.60054e-04 3.33122e-04
4.98210e-01 3.20934e-04 3.07534e-04 4.06115e-04
