#        X        v_x      -p_xy       -q_x
2.5482e-05 2.4018e-05 2.8276e-02 2.1760e-10
3.9317e-03 3.7058e-03 2.8276e-02 1.1782e-08
7.8380e-03 7.3876e-03 2.8276e-02 2.3661e-08
1.1744e-02 1.1069e-02 2.8276e-02 3.5712e-08
1.5650e-02 1.4751e-02 2.8276e-02 4.8022e-08
1.9557e-02 1.8433e-02 2.8276e-02 6.0680e-08
2.3463e-02 2.2115e-02 2.8276e-02 7.3772e-08
2.7369e-02 2.5797e-02 2.8276e-02 8.7388e-08
3.1275e-02 2.9478e-02 2.8276e-02 1.0162e-07
3.5182e-02 3.3160e-02 2.8276e-02 1.1657e-07
3.9088e-02 3.6842e-02 2.8276e-02 1.3232e-07
4.2994e-02 4.0524e-02 2.8276e-02 1.4898e-07
4.6900e-02 4.4206e-02 2.8276e-02 1.6665e-07
5.0807e-02 4.7887e-02 2.8276e-02 1.8543e-07
5.4713e-02 5.1569e-02 2.8276e-02 2.0545e-07
5.8619e-02 5.5251e-02 2.8276e-02 2.2682e-07
6.2525e-02 5.8933e-02 2.8276e-02 2.4966e-07
6.6432e-02 6.2615e-02 2.8276e-02 2.7409e-07
7.0338e-02 6.6296e-02 2.8276e-02 3.0026e-07
7.4244e-02 6.9978e-02 2.8276e-02 3.2831e-07
7.8150e-02 7.3660e-02 2.8276e-02 3.5838e-07
8.2057e-02 7.7342e-02 2.8276e-02 3.9064e-07
8.5963e-02 8.1024e-02 2.8276e-02 4.2526e-07
8.9869e-02 8.4706e-02 2.8276e-02 4.6241e-07
9.3775e-02 8.8387e-02 2.8276e-02 5.0229e-07
9.7682e-02 9.2069e-02 2.8276e-02 5.4509e-07
1.0159e-01 9.5751e-02 2.8276e-02 5.9103e-07
1.0549e-01 9.9433e-02 2.8276e-02 6.4035e-07
1.0940e-01 1.0311e-01 2.8276e-02 6.9329e-07
1.1331e-01 1.0680e-01 2.8276e-02 7.5011e-07
1.1721e-01 1.1048e-01 2.8276e-02 8.1109e-07
1.2112e-01 1.1416e-01 2.8276e-02 8.7650e-07
1.2503e-01 1.1784e-01 2.8276e-02 9.4666e-07
1.2893e-01 1.2152e-01 2.8276e-02 1.0219e-06
1.3284e-01 1.2521e-01 2.8276e-02 1.1025e-06
1.3674e-01 1.2889e-01 2.8276e-02 1.1888e-06
1.4065e-01 1.3257e-01 2.8276e-02 1.2813e-06
1.4456e-01 1.3625e-01 2.8276e-02 1.3804e-06
1.4846e-01 1.3993e-01 2.8276e-02 1.4865e-06
1.5237e-01 1.4362e-01 2.8276e-02 1.6001e-06
1.5628e-01 1.4730e-01 2.8276e-02 1.7217e-06
1.6018e-01 1.5098e-01 2.8276e-02 1.8520e-06
1.6409e-01 1.5466e-01 2.8276e-02 1.9914e-06
1.6799e-01 1.5834e-01 2.8276e-02 2.1406e-06
1.7190e-01 1.6203e-01 2.8276e-02 2.3003e-06
1.7581e-01 1.6571e-01 2.8276e-02 2.4714e-06
1.7971e-01 1.6939e-01 2.8276e-02 2.6545e-06
1.8362e-01 1.7307e-01 2.8276e-02 2.8505e-06
1.8753e-01 1.7675e-01 2.8276e-02 3.0604e-06
1.9143e-01 1.8044e-01 2.8276e-02 3.2852e-06
1.9534e-01 1.8412e-01 2.8276e-02 3.5260e-06
1.9924e-01 1.8780e-01 2.8276e-02 3.7840e-06
2.0315e-01 1.9148e-01 2.8276e-02 4.0604e-06
2.0706e-01 1.9517e-01 2.8276e-02 4.3566e-06
