#        X        v_x      -p_xy       -q_x
2.5482e-05 2.1285e-05 8.3112e-02 5.3106e-08
3.9317e-03 3.2841e-03 8.3112e-02 8.1891e-06
7.8380e-03 6.5470e-03 8.3112e-02 1.6331e-05
1.1744e-02 9.8099e-03 8.3112e-02 2.4483e-05
1.5650e-02 1.3073e-02 8.3112e-02 3.2653e-05
1.9557e-02 1.6336e-02 8.3112e-02 4.0844e-05
2.3463e-02 1.9599e-02 8.3112e-02 4.9062e-05
2.7369e-02 2.2862e-02 8.3112e-02 5.7314e-05
3.1275e-02 2.6125e-02 8.3112e-02 6.5605e-05
3.5182e-02 2.9388e-02 8.3112e-02 7.3939e-05
3.9088e-02 3.2652e-02 8.3112e-02 8.2324e-05
4.2994e-02 3.5915e-02 8.3112e-02 9.0764e-05
4.6900e-02 3.9179e-02 8.3112e-02 9.9266e-05
5.0807e-02 4.2442e-02 8.3112e-02 1.0784e-04
5.4713e-02 4.5706e-02 8.3112e-02 1.1648e-04
5.8619e-02 4.8970e-02 8.3112e-02 1.2520e-04
6.2525e-02 5.2234e-02 8.3112e-02 1.3402e-04
6.6432e-02 5.5499e-02 8.3112e-02 1.4292e-04
7.0338e-02 5.8763e-02 8.3112e-02 1.5193e-04
7.4244e-02 6.2028e-02 8.3112e-02 1.6104e-04
7.8150e-02 6.5293e-02 8.3112e-02 1.7027e-04
8.2057e-02 6.8558e-02 8.3112e-02 1.7962e-04
8.5963e-02 7.1824e-02 8.3112e-02 1.8910e-04
8.9869e-02 7.5090e-02 8.3112e-02 1.9871e-04
9.3775e-02 7.8356e-02 8.3112e-02 2.0847e-04
9.7682e-02 8.1622e-02 8.3112e-02 2.1838e-04
1.0159e-01 8.4889e-02 8.3112e-02 2.2845e-04
1.0549e-01 8.8156e-02 8.3112e-02 2.3868e-04
1.0940e-01 9.1423e-02 8.3112e-02 2.4909e-04
1.1331e-01 9.4691e-02 8.3112e-02 2.5969e-04
1.1721e-01 9.7959e-02 8.3112e-02 2.7047e-04
1.2112e-01 1.0123e-01 8.3112e-02 2.8145e-04
1.2503e-01 1.0450e-01 8.3112e-02 2.9264e-04
1.2893e-01 1.0777e-01 8.3112e-02 3.0405e-04
1.3284e-01 1.1104e-01 8.3112e-02 3.1568e-04
1.3674e-01 1.1431e-01 8.3112e-02 3.2755e-04
1.4065e-01 1.1758e-01 8.3112e-02 3.3965e-04
1.4456e-01 1.2085e-01 8.3112e-02 3.5201e-04
1.4846e-01 1.2412e-01 8.3112e-02 3.6463e-04
1.5237e-01 1.2739e-01 8.3112e-02 3.7753e-04
1.5628e-01 1.3067e-01 8.3112e-02 3.9072e-04
1.6018e-01 1.3394e-01 8.3112e-02 4.0420e-04
1.6409e-01 1.3721e-01 8.3112e-02 4.1800e-04
1.6799e-01 1.4049e-01 8.3112e-02 4.3212e-04
1.7190e-01 1.4376e-01 8.3112e-02 4.4659e-04
1.7581e-01 1.4704e-01 8.3112e-02 4.6142e-04
1.7971e-01 1.5032e-01 8.3112e-02 4.7661e-04
1.8362e-01 1.5359e-01 8.3112e-02 4.9220e-04
1.8753e-01 1.5687e-01 8.3112e-02 5.0819e-04
1.9143e-01 1.6015e-01 8.3112e-02 5.2460e-04
1.9534e-01 1.6343e-01 8.3112e-02 5.4145e-04
1.9924e-01 1.6671e-01 8.3112e-02 5.5875e-04
2.0315e-01 1.7000e-01 8.3112e-02 5.7652e-04
2.0706e-01 1.7328e-01 8.3112e-02 5.9478e-04
2.1096e-01 1.7656e-01 8.3112e-02 6.1355e-04
2.1487e-01 1.7985e-01 8.3112e-02 6.3284e-04
2.1878e-01 1.8313e-01 8.3112e-02 6.5266e-04
2.2268e-01 1.8642e-01 8.3112e-02 6.7304e-04
2.2659e-01 1.8971e-01 8.3112e-02 6.9400e-04
2.3049e-01 1.9300e-01 8.3112e-02 7.1556e-04
2.3440e-01 1.9629e-01 8.3112e-02 7.3775e-04
2.3831e-01 1.9958e-01 8.3112e-02 7.6060e-04
2.4221e-01 2.0288e-01 8.3112e-02 7.8415e-04
2.4612e-01 2.0617e-01 8.3112e-02 8.0843e-04
2.5003e-01 2.0947e-01 8.3112e-02 8.3347e-04
2.5393e-01 2.1277e-01 8.3112e-02 8.5930e-04
2.5784e-01 2.1607e-01 8.3112e-02 8.8597e-04
2.6174e-01 2.1937e-01 8.3112e-02 9.1351e-04
2.6565e-01 2.2267e-01 8.3112e-02 9.4196e-04
2.6956e-01 2.2598e-01 8.3112e-02 9.7134e-04
2.7346e-01 2.2928e-01 8.3112e-02 1.0017e-03
2.7737e-01 2.3259e-01 8.3112e-02 1.0331e-03
2.8128e-01 2.3591e-01 8.3112e-02 1.0655e-03
2.8518e-01 2.3922e-01 8.3112e-02 1.0990e-03
2.8909e-01 2.4254e-01 8.3112e-02 1.1336e-03
2.9299e-01 2.4585e-01 8.3112e-02 1.1694e-03
2.9690e-01 2.4917e-01 8.3112e-02 1.2065e-03
3.0081e-01 2.5250e-01 8.3112e-02 1.2449e-03
3.0471e-01 2.5582e-01 8.3112e-02 1.2846e-03
3.0862e-01 2.5915e-01 8.3112e-02 1.3258e-03
3.1253e-01 2.6248e-01 8.3112e-02 1.3686e-03
3.1643e-01 2.6582e-01 8.3112e-02 1.4130e-03
3.2034e-01 2.6916e-01 8.3112e-02 1.4591e-03
3.2424e-01 2.7250e-01 8.3112e-02 1.5070e-03
3.2815e-01 2.7585e-01 8.3112e-02 1.5567e-03
3.3206e-01 2.7920e-01 8.3112e-02 1.6084e-03
3.3596e-01 2.8255e-01 8.3112e-02 1.6620e-03
3.3987e-01 2.8591e-01 8.3112e-02 1.7178e-03
3.4378e-01 2.8927e-01 8.3112e-02 1.7758e-03
3.4768e-01 2.9264e-01 8.3112e-02 1.8362e-03
3.5159e-01 2.9601e-01 8.3112e-02 1.8990e-03
3.5549e-01 2.9939e-01 8.3112e-02 1.9646e-03
3.5940e-01 3.0277e-01 8.3112e-02 2.0330e-03
3.6331e-01 3.0616e-01 8.3112e-02 2.1044e-03
3.6721e-01 3.0956e-01 8.3112e-02 2.1790e-03
3.7112e-01 3.1296e-01 8.3112e-02 2.2570e-03
3.7503e-01 3.1637e-01 8.3112e-02 2.3386e-03
3.7893e-01 3.1979e-01 8.3112e-02 2.4240e-03
3.8284e-01 3.2321e-01 8.3112e-02 2.5133e-03
3.8674e-01 3.2665e-01 8.3112e-02 2.6068e-03
3.9065e-01 3.3009e-01 8.3112e-02 2.7047e-03
3.9456e-01 3.3354e-01 8.3112e-02 2.8075e-03
3.9846e-01 3.3700e-01 8.3112e-02 2.9157e-03
4.0237e-01 3.4048e-01 8.3112e-02 3.0299e-03
4.0628e-01 3.4397e-01 8.3112e-02 3.1503e-03
4.1018e-01 3.4747e-01 8.3112e-02 3.2770e-03
4.1409e-01 3.5098e-01 8.3112e-02 3.4103e-03
4.1799e-01 3.5451e-01 8.3112e-02 3.5509e-03
4.2190e-01 3.5805e-01 8.3112e-02 3.6999e-03
4.2581e-01 3.6162e-01 8.3112e-02 3.8588e-03
4.2971e-01 3.6520e-01 8.3112e-02 4.0278e-03
4.3362e-01 3.6881e-01 8.3112e-02 4.2068e-03
4.3753e-01 3.7243e-01 8.3112e-02 4.3967e-03
4.4143e-01 3.7609e-01 8.3112e-02 4.6005e-03
4.4534e-01 3.7977e-01 8.3112e-02 4.8201e-03
4.4924e-01 3.8349e-01 8.3112e-02 5.0550e-03
4.5315e-01 3.8724e-01 8.3112e-02 5.3071e-03
4.5706e-01 3.9103e-01 8.3112e-02 5.5817e-03
4.6096e-01 3.9488e-01 8.3112e-02 5.8795e-03
4.6487e-01 3.9877e-01 8.3112e-02 6.2041e-03
4.6878e-01 4.0273e-01 8.3112e-02 6.5618e-03
4.7268e-01 4.0677e-01 8.3112e-02 6.9568e-03
4.7659e-01 4.1090e-01 8.3112e-02 7.3984e-03
4.8049e-01 4.1514e-01 8.3112e-02 7.8970e-03
4.8440e-01 4.1953e-01 8.3112e-02 8.4691e-03
4.8831e-01 4.2412e-01 8.3112e-02 9.1403e-03
4.9221e-01 4.2900e-01 8.3112e-02 9.9562e-03
4.9612e-01 4.3437e-01 8.3112e-02 1.1018e-02
4.9910e-01 4.3922e-01 8.3112e-02 1.2207e-02
4.9987e-01 4.4086e-01 8.3112e-02 1.2703e-02
# k = 0.1, Nu = 256, Ng = 4, N_points = 2590, error_U = 8.17e-06, error_Pxy = 1.50e-07
