#      phi   TMean UMean_t
0 1.1026 0
0.096597 1.1029 -0.0005612
0.19045 1.1032 0.0014556
0.28039 1.1036 0.0025499
0.36449 1.1042 0.0035342
0.44371 1.1049 0.0042523
0.51771 1.1057 0.004818
0.58566 1.1068 0.0052934
0.64878 1.108 0.0057905
0.70729 1.1093 0.0063057
0.7608 1.1109 0.0066043
0.81041 1.1127 0.0069332
0.85646 1.1146 0.0075279
0.89899 1.1167 0.0078719
0.93841 1.1191 0.0078514
0.97523 1.1216 0.0081286
1.0097 1.1243 0.0088134
1.0418 1.1272 0.0091844
1.072 1.1304 0.009071
1.1004 1.1338 0.0089474
1.1273 1.1374 0.0095958
1.1528 1.1412 0.010825
1.1769 1.1452 0.010807
1.1999 1.1496 0.00921
1.2218 1.1541 0.0090231
1.2428 1.1589 0.011523
1.2629 1.1639 0.011853
1.2823 1.1692 0.0085812
1.3009 1.1746 0.0073238
1.3189 1.1804 0.0096
1.3363 1.1863 0.010601
1.3531 1.1922 0.0074087
1.3694 1.1986 0.0055419
1.3853 1.2053 0.0061739
1.4006 1.2114 0.0057057
1.4156 1.2173 0.002656
1.4301 1.2236 0.00018089
1.4442 1.2296 0.0025772
1.4578 1.2352 0.0037019
1.4711 1.2405 0.00071462
1.484 1.2452 0.00063452
1.4964 1.2496 -7.888e-05
1.5084 1.2533 -0.0011858
1.5199 1.2563 -0.00037048
1.531 1.2588 -0.0010139
1.5416 1.2606 -0.0014497
1.5518 1.2617 -0.0002861
1.5615 1.2617 0.0057142
1.5708 1.2609 0
