#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz           T
3.16228e-03 -3.61375e-03 1.23501e-01 -6.06338e-06 4.46295e-04 1.41005e-03 1.39396e-03 1.39846e-03 5.22671e-01
3.98107e-03 -4.54202e-03 1.23286e-01 -9.56571e-06 5.59955e-04 1.77797e-03 1.75256e-03 1.75966e-03 5.22811e-01
5.01187e-03 -5.70634e-03 1.23017e-01 -1.50733e-05 7.01952e-04 2.24277e-03 2.20267e-03 2.21388e-03 5.22985e-01
6.30957e-03 -7.16534e-03 1.22681e-01 -2.37171e-05 8.78999e-04 2.83043e-03 2.76723e-03 2.78490e-03 5.23202e-01
7.94328e-03 -8.99144e-03 1.22261e-01 -3.72488e-05 1.09920e-03 3.57420e-03 3.47473e-03 3.50254e-03 5.23471e-01
1.00000e-02 -1.12736e-02 1.21737e-01 -5.83665e-05 1.37221e-03 4.51663e-03 4.36037e-03 4.40406e-03 5.23801e-01
1.25893e-02 -1.41203e-02 1.21086e-01 -9.11953e-05 1.70937e-03 5.71251e-03 5.46758e-03 5.53605e-03 5.24207e-01
1.58489e-02 -1.76628e-02 1.20280e-01 -1.41980e-04 2.12368e-03 7.23237e-03 6.84950e-03 6.95653e-03 5.24699e-01
1.99526e-02 -2.20585e-02 1.19284e-01 -2.20074e-04 2.62967e-03 9.16765e-03 8.57123e-03 8.73794e-03 5.25294e-01
2.51189e-02 -2.74927e-02 1.18062e-01 -3.39273e-04 3.24280e-03 1.16368e-02 1.07117e-02 1.09703e-02 5.26002e-01
3.16228e-02 -3.41801e-02 1.16571e-01 -5.19546e-04 3.97852e-03 1.47938e-02 1.33663e-02 1.37653e-02 5.26833e-01
3.98107e-02 -4.23633e-02 1.14767e-01 -7.89098e-04 4.85054e-03 1.88385e-02 1.66502e-02 1.72617e-02 5.27790e-01
5.01187e-02 -5.23071e-02 1.12605e-01 -1.18637e-03 5.86834e-03 2.40303e-02 2.07021e-02 2.16320e-02 5.28866e-01
6.30957e-02 -6.42869e-02 1.10046e-01 -1.76104e-03 7.03351e-03 3.07038e-02 2.56899e-02 2.70905e-02 5.30034e-01
7.94328e-02 -7.85689e-02 1.07059e-01 -2.57172e-03 8.33543e-03 3.92871e-02 3.18196e-02 3.39052e-02 5.31245e-01
1.00000e-01 -9.53817e-02 1.03631e-01 -3.67808e-03 9.74629e-03 5.03209e-02 3.93491e-02 4.24126e-02 5.32424e-01
1.25893e-01 -1.14877e-01 9.97667e-02 -5.12610e-03 1.12170e-02 6.44780e-02 4.86105e-02 5.30402e-02 5.33460e-01
1.58489e-01 -1.37085e-01 9.54912e-02 -6.92949e-03 1.26751e-02 8.25786e-02 6.00439e-02 6.63350e-02 5.34221e-01
1.99526e-01 -1.61870e-01 9.08462e-02 -9.04956e-03 1.40277e-02 1.05607e-01 7.42491e-02 8.30080e-02 5.34560e-01
2.51189e-01 -1.88900e-01 8.58867e-02 -1.13843e-02 1.51693e-02 1.34719e-01 9.20518e-02 1.03986e-01 5.34346e-01
3.16228e-01 -2.17635e-01 8.06755e-02 -1.37696e-02 1.59971e-02 1.71258e-01 1.14588e-01 1.30477e-01 5.33486e-01
