#         Kn           Pxy            M            Qx           Qy          Pxx          Pyy          Pzz            T          DU0           DT0           p0         T_B0
3.162280e-03 -3.839960e-03 1.218850e-01 -1.873203e-05 9.360679e-04 7.196592e-04 6.857829e-04 6.964311e-04 2.957504e-01 2.151749e+00 -1.129976e+00 1.171248e+00 1.000000e+00
3.981070e-03 -4.828369e-03 1.216913e-01 -2.954105e-05 1.175142e-03 9.120992e-04 8.585910e-04 8.754084e-04 2.960140e-01 2.147629e+00 -1.125929e+00 1.170684e+00 1.000000e+00
5.011870e-03 -6.069290e-03 1.214481e-01 -4.652784e-05 1.474208e-03 1.157864e-03 1.073420e-03 1.099957e-03 2.963432e-01 2.142463e+00 -1.120861e+00 1.169978e+00 1.000000e+00
6.309570e-03 -7.626102e-03 1.211431e-01 -7.316496e-05 1.847698e-03 1.472731e-03 1.339612e-03 1.381440e-03 2.967534e-01 2.135991e+00 -1.114527e+00 1.169094e+00 1.000000e+00
7.943280e-03 -9.577437e-03 1.207608e-01 -1.148206e-04 2.313156e-03 1.877650e-03 1.668088e-03 1.733923e-03 2.972633e-01 2.127894e+00 -1.106623e+00 1.167991e+00 1.000000e+00
1.000000e-02 -1.202045e-02 1.202822e-01 -1.797389e-04 2.891687e-03 2.400646e-03 2.071308e-03 2.174748e-03 2.978950e-01 2.117780e+00 -1.096783e+00 1.166615e+00 1.000000e+00
1.258930e-02 -1.507457e-02 1.196841e-01 -2.804769e-04 3.608362e-03 3.079497e-03 2.563035e-03 2.725201e-03 2.986742e-01 2.105171e+00 -1.084567e+00 1.164905e+00 1.000000e+00
1.584890e-02 -1.888535e-02 1.189380e-01 -4.359467e-04 4.492346e-03 3.965400e-03 3.157682e-03 3.411210e-03 2.996303e-01 2.089491e+00 -1.069457e+00 1.162786e+00 1.000000e+00
1.995260e-02 -2.362927e-02 1.180093e-01 -6.742823e-04 5.576899e-03 5.128309e-03 3.869290e-03 4.264299e-03 3.007957e-01 2.070053e+00 -1.050850e+00 1.160171e+00 1.000000e+00
2.511890e-02 -2.951688e-02 1.168570e-01 -1.036571e-03 6.898412e-03 6.663877e-03 4.709539e-03 5.322368e-03 3.022040e-01 2.046048e+00 -1.028062e+00 1.156960e+00 1.000000e+00
3.162280e-02 -3.679558e-02 1.154324e-01 -1.581488e-03 8.494629e-03 8.703027e-03 5.684978e-03 6.630728e-03 3.038875e-01 2.016549e+00 -1.000349e+00 1.153041e+00 1.000000e+00
3.981070e-02 -4.574988e-02 1.136796e-01 -2.390425e-03 1.040134e-02 1.142443e-02 6.793238e-03 8.243313e-03 3.058722e-01 1.980514e+00 -9.669328e-01 1.148297e+00 1.000000e+00
5.011870e-02 -5.669651e-02 1.115357e-01 -3.571945e-03 1.264681e-02 1.506986e-02 8.018419e-03 1.022413e-02 3.081710e-01 1.936818e+00 -9.270638e-01 1.142608e+00 1.000000e+00
6.309570e-02 -6.997191e-02 1.089327e-01 -5.263346e-03 1.524352e-02 1.996176e-02 9.326642e-03 1.264943e-02 3.107735e-01 1.884311e+00 -8.801096e-01 1.135869e+00 1.000000e+00
7.943280e-02 -8.590878e-02 1.058015e-01 -7.625687e-03 1.817704e-02 2.652135e-02 1.066384e-02 1.561143e-02 3.136332e-01 1.821907e+00 -8.256776e-01 1.128001e+00 1.000000e+00
1.000000e-01 -1.047975e-01 1.020774e-01 -1.082726e-02 2.139261e-02 3.528292e-02 1.195941e-02 1.922469e-02 3.166542e-01 1.748719e+00 -7.637670e-01 1.118977e+00 1.000000e+00
1.258930e-01 -1.268316e-01 9.770938e-02 -1.501083e-02 2.478194e-02 4.689871e-02 1.314123e-02 2.363739e-02 3.196782e-01 1.664225e+00 -6.949273e-01 1.108848e+00 1.000000e+00
1.584890e-01 -1.520362e-01 9.267154e-02 -2.024270e-02 2.817441e-02 6.212553e-02 1.416831e-02 2.904908e-02 3.224800e-01 1.568466e+00 -6.203930e-01 1.097763e+00 1.000000e+00
1.995260e-01 -1.802019e-01 8.697444e-02 -2.645237e-02 3.134043e-02 8.179317e-02 1.508653e-02 3.573929e-02 3.247758e-01 1.462197e+00 -5.421135e-01 1.085984e+00 1.000000e+00
2.511890e-01 -2.108254e-01 8.067678e-02 -3.337830e-02 3.401124e-02 1.067466e-01 1.610689e-02 4.410435e-02 3.262507e-01 1.347012e+00 -4.626716e-01 1.073880e+00 1.000000e+00
3.162280e-01 -2.431033e-01 7.388999e-02 -4.055142e-02 3.591952e-02 1.377841e-01 1.769865e-02 5.470458e-02 3.266063e-01 1.225317e+00 -3.850157e-01 1.061896e+00 1.000000e+00
