#  Kn         Pxy          M          Qx         Qy        Pxx        Pyy        Pzz          T |         fit_errors
  0.1 -1.2574e-01 1.0795e-01 -5.6038e-02 6.8213e-02 5.7497e-01 4.7932e-01 5.0649e-01 5.3958e-01 | 2.07e-04 6.24e-05 3.32e-04 300000
  0.2 -2.0128e-01 1.0516e-01 -1.3588e-01 1.0836e-01 7.3641e-01 4.9668e-01 5.5681e-01 6.1386e-01 | 1.87e-04 4.16e-05 2.23e-04 250000
  0.3 -2.4845e-01 1.0290e-01 -2.0344e-01 1.3068e-01 8.6737e-01 4.9436e-01 5.8014e-01 6.6282e-01 | 2.58e-04 5.54e-05 2.80e-04 200000
  0.5 -3.0652e-01 9.7601e-02 -3.0605e-01 1.5360e-01 1.0765e+00 4.8244e-01 5.9770e-01 7.3110e-01 | 2.23e-04 6.06e-05 3.34e-04 180000
    1 -3.7771e-01 8.5440e-02 -4.3845e-01 1.6583e-01 1.4181e+00 4.5153e-01 5.8977e-01 8.2649e-01 | 2.34e-04 6.47e-05 4.13e-04 170000
    2 -4.5966e-01 6.8392e-02 -5.1158e-01 1.5940e-01 1.8118e+00 3.8502e-01 5.2523e-01 9.1007e-01 | 2.48e-04 6.72e-05 5.57e-04 150000
    3 -4.9650e-01 5.7595e-02 -5.0221e-01 1.4446e-01 2.0185e+00 3.4727e-01 4.7459e-01 9.4824e-01 | 2.47e-04 8.43e-05 6.80e-04 150000
    5 -5.3120e-01 4.4725e-02 -4.4615e-01 1.1935e-01 2.2319e+00 3.0595e-01 4.1048e-01 9.8342e-01 | 2.24e-04 7.61e-05 7.95e-04 150000
   10 -5.4518e-01 2.9499e-02 -3.2394e-01 8.0481e-02 2.4024e+00 2.8060e-01 3.5181e-01 1.0117e+00 | 1.96e-04 7.65e-05 8.18e-04 170000
   20 -5.5479e-01 1.8829e-02 -2.1966e-01 5.2409e-02 2.5177e+00 2.5562e-01 3.0106e-01 1.0248e+00 | 1.87e-04 8.47e-05 9.30e-04 180000
   30 -5.5901e-01 1.3963e-02 -1.6645e-01 3.9246e-02 2.5651e+00 2.4371e-01 2.7670e-01 1.0285e+00 | 1.69e-04 8.40e-05 1.00e-03 180000
