#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz           T
3.16228e-03 -5.12047e-03 1.16002e-01 -1.20495e-04 2.96965e-03 3.21312e-04 2.39940e-04 2.62102e-04 2.18059e-01
3.98107e-03 -6.44651e-03 1.15905e-01 -1.90237e-04 3.73537e-03 4.17743e-04 2.89102e-04 3.24148e-04 2.18505e-01
5.01187e-03 -8.11597e-03 1.15784e-01 -3.00047e-04 4.69744e-03 5.46775e-04 3.43538e-04 3.98927e-04 2.19056e-01
6.30957e-03 -1.02177e-02 1.15635e-01 -4.72649e-04 5.90551e-03 7.21205e-04 4.00381e-04 4.87855e-04 2.19733e-01
7.94328e-03 -1.28637e-02 1.15452e-01 -7.43367e-04 7.42139e-03 9.59586e-04 4.53666e-04 5.91683e-04 2.20560e-01
1.00000e-02 -1.61943e-02 1.15227e-01 -1.16683e-03 9.32165e-03 1.28904e-03 4.92274e-04 7.09783e-04 2.21560e-01
1.25893e-02 -2.03863e-02 1.14953e-01 -1.82695e-03 1.17008e-02 1.74948e-03 4.96718e-04 8.38999e-04 2.22759e-01
1.58489e-02 -2.56609e-02 1.14624e-01 -2.85152e-03 1.46741e-02 2.39985e-03 4.34225e-04 9.71837e-04 2.24174e-01
1.99526e-02 -3.22952e-02 1.14230e-01 -4.43316e-03 1.83818e-02 3.32750e-03 2.51341e-04 1.09377e-03 2.25817e-01
2.51189e-02 -4.06338e-02 1.13767e-01 -6.85766e-03 2.29907e-02 4.66152e-03 -1.36869e-04 1.17925e-03 2.27678e-01
3.16228e-02 -5.11028e-02 1.13229e-01 -1.05406e-02 2.86950e-02 6.59188e-03 -8.62100e-04 1.18624e-03 2.29722e-01
3.98107e-02 -6.42239e-02 1.12613e-01 -1.60700e-02 3.57130e-02 9.39575e-03 -2.12354e-03 1.04897e-03 2.31873e-01
5.01187e-02 -8.06242e-02 1.11913e-01 -2.42467e-02 4.42761e-02 1.34722e-02 -4.21412e-03 6.69584e-04 2.34005e-01
6.30957e-02 -1.01038e-01 1.11108e-01 -3.61093e-02 5.46032e-02 1.93850e-02 -7.55036e-03 -8.94831e-05 2.35947e-01
7.94328e-02 -1.26288e-01 1.10156e-01 -5.29178e-02 6.68548e-02 2.79102e-02 -1.26999e-02 -1.40833e-03 2.37503e-01
1.00000e-01 -1.57225e-01 1.08967e-01 -7.60515e-02 8.10555e-02 4.00769e-02 -2.03941e-02 -3.50062e-03 2.38496e-01
1.25893e-01 -1.94611e-01 1.07394e-01 -1.06765e-01 9.69796e-02 5.71790e-02 -3.15031e-02 -6.58453e-03 2.38822e-01
1.58489e-01 -2.38899e-01 1.05234e-01 -1.45750e-01 1.14007e-01 8.07135e-02 -4.69440e-02 -1.08295e-02 2.38484e-01
1.99526e-01 -2.89922e-01 1.02249e-01 -1.92526e-01 1.30993e-01 1.12197e-01 -6.74991e-02 -1.62922e-02 2.37531e-01
2.51189e-01 -3.46507e-01 9.82296e-02 -2.44809e-01 1.46236e-01 1.52860e-01 -9.35429e-02 -2.28241e-02 2.35981e-01
3.16228e-01 -4.06183e-01 9.30698e-02 -2.98261e-01 1.57671e-01 2.03250e-01 -1.24754e-01 -3.00163e-02 2.33642e-01
