#  Kn         Pxy          M          Qx         Qy        Pxx        Pyy        Pzz          T |         fit_errors
 0.03 -3.0956e-02 1.1748e-01 +1.9462e-04 2.5363e-04 1.0009e+01 1.0007e+01 1.0005e+01 1.0007e+01 | 1.27e-03 2.75e-04 6.61e-04 1799999
 0.05 -5.2973e-02 1.1265e-01 -9.1899e-04 1.2351e-03 1.0006e+01 1.0005e+01 1.0005e+01 1.0005e+01 | 1.34e-03 3.52e-04 6.74e-04 1799999
  0.1 -9.2239e-02 1.0378e-01 -1.8546e-03 7.3791e-04 1.0003e+01 1.0002e+01 1.0004e+01 1.0003e+01 | 8.49e-04 3.41e-04 4.98e-04 3000000
  0.2 -1.5427e-01 8.9837e-02 -1.6715e-03 2.1698e-03 1.0011e+01 1.0005e+01 1.0007e+01 1.0008e+01 | 1.07e-03 3.28e-04 6.08e-04 2500000
  0.3 -2.0189e-01 8.2493e-02 -4.7975e-03 2.0737e-03 1.0019e+01 1.0006e+01 1.0010e+01 1.0011e+01 | 1.66e-03 5.40e-04 7.02e-04 1999999
  0.5 -2.6687e-01 7.0420e-02 -4.1787e-03 1.3746e-03 1.0021e+01 1.0005e+01 1.0007e+01 1.0011e+01 | 1.07e-03 4.17e-04 6.93e-04 1799999
    1 -3.5195e-01 5.3778e-02 -6.2348e-03 2.7208e-03 1.0029e+01 1.0007e+01 1.0008e+01 1.0014e+01 | 1.41e-03 4.11e-04 6.41e-04 1700000
    2 -4.2590e-01 4.0392e-02 -6.4095e-03 1.8786e-03 1.0033e+01 1.0006e+01 1.0006e+01 1.0015e+01 | 1.58e-03 3.46e-04 7.65e-04 1499999
    3 -4.6362e-01 3.3817e-02 -5.2967e-03 7.1343e-04 1.0038e+01 1.0002e+01 1.0003e+01 1.0014e+01 | 1.38e-03 5.37e-04 8.32e-04 1499999
    5 -4.9386e-01 2.4854e-02 -3.5340e-03 1.8275e-04 1.0042e+01 9.9980e+00 1.0005e+01 1.0015e+01 | 1.21e-03 3.87e-04 7.31e-04 1499999
   10 -5.2197e-01 1.6992e-02 -2.3095e-03 9.8020e-04 1.0043e+01 1.0003e+01 9.9969e+00 1.0014e+01 | 9.01e-04 5.45e-04 7.00e-04 1700000
   20 -5.4136e-01 1.1531e-02 -2.9581e-03 -3.0592e-04 1.0043e+01 1.0002e+01 9.9999e+00 1.0015e+01 | 1.33e-03 5.56e-04 8.61e-04 1799999
   30 -5.5121e-01 8.0621e-03 -1.4658e-03 -3.0696e-04 1.0050e+01 1.0002e+01 9.9958e+00 1.0016e+01 | 1.12e-03 5.95e-04 8.52e-04 1799999
