#  Kn         Pxy          M          Qx         Qy        Pxx        Pyy        Pzz          T |         fit_errors
  0.1 -9.0163e-02 1.0354e-01 -3.1536e-03 9.2876e-03 1.0800e+00 1.0612e+00 1.0666e+00 1.0696e+00 | 3.19e-04 8.75e-05 1.75e-04 300000
  0.2 -1.5247e-01 9.1630e-02 -7.6325e-03 1.4283e-02 1.1220e+00 1.0699e+00 1.0829e+00 1.0917e+00 | 3.58e-04 9.99e-05 1.71e-04 250000
  0.3 -1.9778e-01 8.3507e-02 -1.1129e-02 1.7241e-02 1.1549e+00 1.0691e+00 1.0875e+00 1.1040e+00 | 4.52e-04 1.27e-04 2.39e-04 200000
  0.5 -2.5913e-01 7.2206e-02 -1.5610e-02 1.9163e-02 1.2037e+00 1.0662e+00 1.0896e+00 1.1199e+00 | 3.34e-04 1.26e-04 2.03e-04 180000
    1 -3.4206e-01 5.6677e-02 -1.8801e-02 1.9587e-02 1.2766e+00 1.0559e+00 1.0847e+00 1.1391e+00 | 3.79e-04 1.14e-04 2.23e-04 170000
    2 -4.2163e-01 4.2380e-02 -1.8745e-02 1.7891e-02 1.3444e+00 1.0404e+00 1.0669e+00 1.1506e+00 | 3.73e-04 1.13e-04 2.31e-04 150000
    3 -4.5941e-01 3.4947e-02 -1.7092e-02 1.6245e-02 1.3797e+00 1.0328e+00 1.0548e+00 1.1560e+00 | 3.35e-04 1.49e-04 2.99e-04 150000
    5 -4.9356e-01 2.6318e-02 -1.4164e-02 1.3126e-02 1.4127e+00 1.0235e+00 1.0413e+00 1.1592e+00 | 3.37e-04 1.45e-04 2.43e-04 150000
   10 -5.2006e-01 1.7767e-02 -1.0406e-02 9.4625e-03 1.4445e+00 1.0172e+00 1.0283e+00 1.1633e+00 | 3.62e-04 1.37e-04 2.61e-04 170000
   20 -5.3804e-01 1.1252e-02 -6.8139e-03 5.9545e-03 1.4654e+00 1.0113e+00 1.0186e+00 1.1651e+00 | 4.66e-04 1.37e-04 2.26e-04 180000
   30 -5.4569e-01 8.7595e-03 -6.2038e-03 5.1424e-03 1.4739e+00 1.0089e+00 1.0143e+00 1.1656e+00 | 3.16e-04 1.46e-04 2.78e-04 180000
