#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz           T            H |         fit_errors
1.000000e-02 -1.09864e-02 1.22331e-01 -1.39277e-05 1.54530e-04 5.00273e+00 5.00345e+00 5.00272e+00 5.00297e+00 -2.65909e+01 | 1.42e-05 1.99e-07 1.81e-07
1.467799e-02 -1.59765e-02 1.21125e-01 -2.76235e-05 2.10193e-04 5.00268e+00 5.00339e+00 5.00267e+00 5.00291e+00 -2.65909e+01 | 1.58e-05 3.19e-07 2.28e-07
2.154435e-02 -2.31114e-02 1.19408e-01 -5.75802e-05 2.91423e-04 5.00275e+00 5.00341e+00 5.00269e+00 5.00295e+00 -2.65909e+01 | 9.53e-06 5.91e-07 1.61e-07
3.162278e-02 -3.32217e-02 1.16992e-01 -1.18822e-04 4.06213e-04 5.00292e+00 5.00352e+00 5.00281e+00 5.00309e+00 -2.65910e+01 | 1.16e-05 8.27e-07 1.70e-07
4.641589e-02 -4.73174e-02 1.13670e-01 -2.44067e-04 5.55474e-04 5.00322e+00 5.00367e+00 5.00299e+00 5.00329e+00 -2.65911e+01 | 1.63e-05 5.95e-07 3.39e-07
6.812921e-02 -6.65732e-02 1.09260e-01 -4.92568e-04 7.46858e-04 5.00368e+00 5.00384e+00 5.00324e+00 5.00358e+00 -2.65914e+01 | 2.28e-05 7.71e-07 2.53e-07
1.000000e-01 -9.20687e-02 1.03640e-01 -9.55817e-04 9.64292e-04 5.00432e+00 5.00401e+00 5.00350e+00 5.00394e+00 -2.65916e+01 | 2.56e-05 9.75e-07 8.43e-07
1.467799e-01 -1.24543e-01 9.68309e-02 -1.70814e-03 1.20928e-03 5.00526e+00 5.00413e+00 5.00382e+00 5.00441e+00 -2.65918e+01 | 3.65e-05 2.58e-06 1.49e-06
2.154435e-01 -1.63994e-01 8.89910e-02 -2.72408e-03 1.46251e-03 5.00656e+00 5.00419e+00 5.00413e+00 5.00496e+00 -2.65922e+01 | 3.90e-05 2.44e-06 2.84e-06
3.162278e-01 -2.08996e-01 8.05206e-02 -3.82910e-03 1.68475e-03 5.00814e+00 5.00418e+00 5.00440e+00 5.00558e+00 -2.65924e+01 | 1.00e-04 7.08e-06 4.84e-06
4.641589e-01 -2.57976e-01 7.16332e-02 -4.82726e-03 1.85486e-03 5.01003e+00 5.00405e+00 5.00447e+00 5.00618e+00 -2.65925e+01 | 1.20e-04 1.39e-05 5.81e-06
6.812921e-01 -3.07317e-01 6.28388e-02 -5.47499e-03 1.92823e-03 5.01213e+00 5.00367e+00 5.00434e+00 5.00672e+00 -2.65926e+01 | 3.03e-05 4.51e-06 3.66e-06
1.000000e+00 -3.54625e-01 5.43193e-02 -5.76914e-03 1.91879e-03 5.01415e+00 5.00328e+00 5.00404e+00 5.00716e+00 -2.65924e+01 | 2.61e-05 1.86e-06 3.04e-06
1.467799e+00 -3.97512e-01 4.63148e-02 -5.67025e-03 1.83709e-03 5.01608e+00 5.00293e+00 5.00363e+00 5.00755e+00 -2.65922e+01 | 1.72e-05 1.80e-06 5.30e-06
2.154435e+00 -4.34655e-01 3.89562e-02 -5.31173e-03 1.68753e-03 5.01780e+00 5.00302e+00 5.00315e+00 5.00799e+00 -2.68272e+01 | 2.24e-05 4.02e-06 6.87e-06
3.162278e+00 -4.65676e-01 3.22961e-02 -4.73992e-03 1.50490e-03 5.01928e+00 5.00272e+00 5.00264e+00 5.00821e+00 -2.68268e+01 | 1.72e-05 4.01e-06 4.27e-06
4.641589e+00 -4.90674e-01 2.64216e-02 -4.09143e-03 1.29526e-03 5.02051e+00 5.00243e+00 5.00215e+00 5.00836e+00 -2.68264e+01 | 2.89e-05 5.11e-06 6.06e-06
6.812921e+00 -5.10254e-01 2.13271e-02 -3.46729e-03 1.08992e-03 5.02156e+00 5.00212e+00 5.00168e+00 5.00845e+00 -2.68260e+01 | 2.08e-05 3.50e-06 4.23e-06
1.000000e+01 -5.25102e-01 1.69937e-02 -2.85823e-03 8.94847e-04 5.02236e+00 5.00150e+00 5.00135e+00 5.00840e+00 -2.65903e+01 | 1.15e-05 2.22e-06 3.63e-06
1.467799e+01 -5.36241e-01 1.33886e-02 -2.32590e-03 7.18657e-04 5.02302e+00 5.00131e+00 5.00100e+00 5.00844e+00 -2.65900e+01 | 6.97e-06 2.01e-06 2.70e-06
2.154435e+01 -5.44401e-01 1.04131e-02 -1.85788e-03 5.66358e-04 5.02348e+00 5.00087e+00 5.00075e+00 5.00837e+00 -2.62991e+01 | 6.32e-06 2.02e-06 2.57e-06
3.162278e+01 -5.50302e-01 8.02832e-03 -1.46768e-03 4.40918e-04 5.02386e+00 5.00079e+00 5.00058e+00 5.00841e+00 -2.62989e+01 | 5.52e-06 1.52e-06 2.37e-06
4.641589e+01 -5.54518e-01 6.12613e-03 -1.14691e-03 3.40146e-04 5.02415e+00 5.00070e+00 5.00042e+00 5.00842e+00 -2.62987e+01 | 3.70e-06 1.61e-06 1.85e-06
6.812921e+01 -5.57487e-01 4.62598e-03 -8.70706e-04 2.57432e-04 5.02438e+00 5.00063e+00 5.00031e+00 5.00845e+00 -2.62986e+01 | 5.59e-06 2.12e-06 1.76e-06
1.000000e+02 -5.59586e-01 3.47476e-03 -6.71616e-04 1.93982e-04 5.02456e+00 5.00058e+00 5.00020e+00 5.00845e+00 -2.62985e+01 | 6.27e-06 1.99e-06 2.43e-06
