#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau            H |         fit_errors
1.000000e-02 -5.62179e-03 1.21789e-01 -5.78243e-05 1.36183e-03 2.36031e-02 2.34963e-02 2.34733e-02 2.36932e-02 -3.84844e+00 | 1.77e-03 1.32e-06 2.25e-02
1.467799e-02 -8.20741e-03 1.20636e-01 -1.18689e-04 1.98525e-03 2.46821e-02 2.44010e-02 2.44392e-02 2.46732e-02 -3.84939e+00 | 6.69e-04 5.74e-06 1.15e-02
2.154435e-02 -1.18690e-02 1.18985e-01 -2.46637e-04 2.84313e-03 2.61251e-02 2.54805e-02 2.56160e-02 2.58999e-02 -3.85057e+00 | 8.25e-04 1.39e-05 6.08e-03
3.162278e-02 -1.70790e-02 1.16672e-01 -4.94951e-04 4.01862e-03 2.82212e-02 2.68640e-02 2.71847e-02 2.75745e-02 -3.85215e+00 | 6.03e-04 1.16e-05 4.00e-03
4.641589e-02 -2.43529e-02 1.13527e-01 -9.76649e-04 5.59822e-03 3.13856e-02 2.86027e-02 2.93109e-02 2.96365e-02 -3.85429e+00 | 6.12e-04 6.93e-06 2.02e-03
6.812921e-02 -3.42545e-02 1.09373e-01 -1.85455e-03 7.54568e-03 3.58902e-02 3.03869e-02 3.18326e-02 3.26148e-02 -3.85689e+00 | 4.55e-04 8.67e-06 1.57e-03
1.000000e-01 -4.73358e-02 1.04130e-01 -3.34127e-03 9.86563e-03 4.25318e-02 3.22522e-02 3.48511e-02 3.66384e-02 -3.86008e+00 | 2.22e-04 1.65e-05 7.72e-04
1.467799e-01 -6.39507e-02 9.77756e-02 -5.62993e-03 1.25070e-02 5.21156e-02 3.38193e-02 3.82465e-02 4.14897e-02 -3.86378e+00 | 1.61e-04 2.93e-05 5.44e-04
2.154435e-01 -8.40080e-02 9.04367e-02 -8.67342e-03 1.51977e-02 6.49922e-02 3.45472e-02 4.14110e-02 4.70608e-02 -3.86748e+00 | 2.12e-04 3.36e-05 4.19e-04
3.162278e-01 -1.06811e-01 8.23670e-02 -1.21400e-02 1.75971e-02 8.11800e-02 3.39305e-02 4.37036e-02 5.29960e-02 -3.87061e+00 | 1.98e-04 5.06e-05 4.77e-04
4.641589e-01 -1.31206e-01 7.38632e-02 -1.54513e-02 1.93816e-02 9.99475e-02 3.21427e-02 4.43828e-02 5.88647e-02 -3.87238e+00 | 2.12e-04 1.23e-04 3.81e-04
6.812921e-01 -1.55844e-01 6.51930e-02 -1.79549e-02 2.03195e-02 1.20381e-01 2.91328e-02 4.32136e-02 6.42681e-02 -3.87255e+00 | 1.67e-04 1.12e-04 5.74e-04
1.000000e+00 -1.79494e-01 5.66782e-02 -1.93885e-02 2.03244e-02 1.40877e-01 2.57342e-02 4.02904e-02 6.89829e-02 -3.87082e+00 | 1.09e-04 6.26e-05 4.29e-04
1.467799e+00 -2.00971e-01 4.85161e-02 -1.95710e-02 1.94951e-02 1.60396e-01 2.20921e-02 3.61101e-02 7.28752e-02 -3.86750e+00 | 7.02e-05 5.98e-05 4.06e-04
2.154435e+00 -2.19529e-01 4.09021e-02 -1.87024e-02 1.79633e-02 1.77891e-01 1.84217e-02 3.11727e-02 7.58334e-02 -3.86307e+00 | 6.24e-05 7.09e-05 4.75e-04
3.162278e+00 -2.34950e-01 3.39510e-02 -1.70032e-02 1.59550e-02 1.92926e-01 1.49528e-02 2.60199e-02 7.79688e-02 -3.85804e+00 | 4.01e-05 1.11e-04 2.39e-04
4.641589e+00 -2.47299e-01 2.77962e-02 -1.49095e-02 1.37463e-02 2.05570e-01 1.19668e-02 2.11835e-02 7.95747e-02 -3.85289e+00 | 3.33e-05 1.13e-04 2.84e-04
6.812921e+00 -2.56910e-01 2.24363e-02 -1.27127e-02 1.15263e-02 2.15847e-01 9.47566e-03 1.68319e-02 8.07188e-02 -3.84788e+00 | 2.86e-05 1.48e-04 3.91e-04
1.000000e+01 -2.64180e-01 1.78551e-02 -1.05098e-02 9.43558e-03 2.24054e-01 7.34904e-03 1.31585e-02 8.15207e-02 -3.84338e+00 | 4.32e-05 3.23e-04 8.71e-04
1.467799e+01 -2.69482e-01 1.40602e-02 -8.52497e-03 7.57865e-03 2.30326e-01 5.64278e-03 1.01254e-02 8.20314e-02 -3.83946e+00 | 3.07e-05 3.41e-04 8.00e-04
2.154435e+01 -2.73310e-01 1.09424e-02 -6.78783e-03 5.98024e-03 2.35276e-01 4.25385e-03 7.68813e-03 8.24060e-02 -3.83625e+00 | 2.76e-05 2.99e-04 5.89e-04
3.162278e+01 -2.76055e-01 8.43116e-03 -5.33676e-03 4.65395e-03 2.39074e-01 3.22165e-03 5.75392e-03 8.26831e-02 -3.83356e+00 | 1.63e-05 2.76e-04 6.46e-04
4.641589e+01 -2.77982e-01 6.43313e-03 -4.12592e-03 3.57601e-03 2.41899e-01 2.43305e-03 4.29310e-03 8.28750e-02 -3.83139e+00 | 1.19e-05 2.08e-04 5.65e-04
6.812921e+01 -2.79307e-01 4.86558e-03 -3.14998e-03 2.71810e-03 2.44040e-01 1.79359e-03 3.17428e-03 8.30026e-02 -3.82973e+00 | 1.19e-05 3.21e-04 8.48e-04
1.000000e+02 -2.80232e-01 3.67131e-03 -2.42123e-03 2.05712e-03 2.45624e-01 1.34680e-03 2.35158e-03 8.31075e-02 -3.82838e+00 | 1.50e-05 5.88e-04 1.12e-03
