#         Kn           Pxy            M            Qx           Qy          Pxx          Pyy          Pzz            T          DU0           DT0           p0         T_B0
3.162280e-03 -3.535252e-03 1.241210e-01 -4.758922e-08 4.387991e-05 1.401343e-02 1.401176e-02 1.401227e-02 5.002259e+00 9.932375e-02 -2.606589e-03 1.000434e+00 1.000000e+00
3.981070e-03 -4.442593e-03 1.238972e-01 -7.501632e-08 5.504247e-05 1.764214e-02 1.763951e-02 1.764031e-02 5.002274e+00 9.914454e-02 -2.597193e-03 1.000433e+00 1.000000e+00
5.011870e-03 -5.580233e-03 1.236165e-01 -1.180867e-07 6.898090e-05 2.221062e-02 2.220647e-02 2.220773e-02 5.002292e+00 9.891984e-02 -2.585437e-03 1.000431e+00 1.000000e+00
6.309570e-03 -7.005134e-03 1.232650e-01 -1.855626e-07 8.634879e-05 2.796225e-02 2.795571e-02 2.795770e-02 5.002314e+00 9.863841e-02 -2.570749e-03 1.000428e+00 1.000000e+00
7.943280e-03 -8.787507e-03 1.228253e-01 -2.909609e-07 1.079328e-04 3.520356e-02 3.519327e-02 3.519640e-02 5.002342e+00 9.828637e-02 -2.552436e-03 1.000425e+00 1.000000e+00
1.000000e-02 -1.101339e-02 1.222762e-01 -4.549846e-07 1.346676e-04 4.432048e-02 4.430432e-02 4.430924e-02 5.002377e+00 9.784673e-02 -2.529658e-03 1.000422e+00 1.000000e+00
1.258930e-02 -1.378754e-02 1.215919e-01 -7.090663e-07 1.676453e-04 5.579920e-02 5.577387e-02 5.578158e-02 5.002419e+00 9.729882e-02 -2.501412e-03 1.000417e+00 1.000000e+00
1.584890e-02 -1.723603e-02 1.207411e-01 -1.100357e-06 2.081098e-04 7.025099e-02 7.021140e-02 7.022344e-02 5.002471e+00 9.661773e-02 -2.466522e-03 1.000411e+00 1.000000e+00
1.995260e-02 -2.150955e-02 1.196869e-01 -1.698665e-06 2.574411e-04 8.844751e-02 8.838585e-02 8.840461e-02 5.002533e+00 9.577370e-02 -2.423625e-03 1.000404e+00 1.000000e+00
2.511890e-02 -2.678473e-02 1.183856e-01 -2.605347e-06 3.170926e-04 1.113593e-01 1.112637e-01 1.112928e-01 5.002609e+00 9.473185e-02 -2.371193e-03 1.000395e+00 1.000000e+00
3.162280e-02 -3.326488e-02 1.167870e-01 -3.964158e-06 3.884906e-04 1.402082e-01 1.400608e-01 1.401056e-01 5.002698e+00 9.345206e-02 -2.307570e-03 1.000385e+00 1.000000e+00
3.981070e-02 -4.117832e-02 1.148349e-01 -5.972913e-06 4.728706e-04 1.765343e-01 1.763083e-01 1.763771e-01 5.002803e+00 9.188923e-02 -2.231049e-03 1.000372e+00 1.000000e+00
5.011870e-02 -5.077250e-02 1.124681e-01 -8.893061e-06 5.710286e-04 2.222769e-01 2.219334e-01 2.220379e-01 5.002923e+00 8.999452e-02 -2.140008e-03 1.000357e+00 1.000000e+00
6.309570e-02 -6.230292e-02 1.096237e-01 -1.305192e-05 6.829876e-04 2.798779e-01 2.793607e-01 2.795180e-01 5.003058e+00 8.771751e-02 -2.033104e-03 1.000339e+00 1.000000e+00
7.943280e-02 -7.601537e-02 1.062410e-01 -1.882935e-05 8.075947e-04 3.524126e-01 3.516427e-01 3.518769e-01 5.003204e+00 8.500968e-02 -1.909538e-03 1.000318e+00 1.000000e+00
1.000000e-01 -9.212020e-02 1.022681e-01 -2.661810e-05 9.420954e-04 4.437526e-01 4.426219e-01 4.429659e-01 5.003355e+00 8.182952e-02 -1.769362e-03 1.000295e+00 1.000000e+00
1.258930e-01 -1.107597e-01 9.766981e-02 -3.674839e-05 1.081788e-03 5.587727e-01 5.571383e-01 5.576355e-01 5.003505e+00 7.814898e-02 -1.613797e-03 1.000269e+00 1.000000e+00
1.584890e-01 -1.319689e-01 9.243750e-02 -4.937351e-05 1.219888e-03 7.035976e-01 7.012774e-01 7.019833e-01 5.003640e+00 7.396114e-02 -1.445491e-03 1.000241e+00 1.000000e+00
1.995260e-01 -1.556429e-01 8.659693e-02 -6.433606e-05 1.347820e-03 8.859508e-01 8.827235e-01 8.837053e-01 5.003748e+00 6.928670e-02 -1.268570e-03 1.000211e+00 1.000000e+00
2.511890e-01 -1.815058e-01 8.021605e-02 -8.104565e-05 1.455968e-03 1.115533e+00 1.111144e+00 1.112479e+00 5.003814e+00 6.418011e-02 -1.088484e-03 1.000181e+00 1.000000e+00
3.162280e-01 -2.091041e-01 7.340655e-02 -9.843432e-05 1.534961e-03 1.404542e+00 1.398716e+00 1.400489e+00 5.003825e+00 5.873081e-02 -9.115063e-04 1.000152e+00 1.000000e+00
