#k  -p_xy   M       -Q
0.1	0.203	0.2029	0.0023
0.15	0.2768	0.1878	0.0041
0.2	0.3384	0.1758	0.0057
0.3	0.4354	0.1577	0.0079
0.4	0.5088	0.1444	0.0094
0.6	0.6132	0.1258	0.0108
0.8	0.6848	0.113	0.0112
1	0.7374	0.1034	0.0113
1.5	0.824	0.0869	0.0109
2	0.8775	0.0761	0.0102
3	0.941	0.0623	0.0091
4	0.9779	0.0536	0.0081
6	1.0197	0.0428	0.0068
8	1.0429	0.0361	0.0059
10	1.0578	0.0315	0.0052
15	1.079	0.0244	0.0042
20	1.0903	0.0201	0.0035
