100	2.1381	2.0697
110	2.1382	2.0805
120	2.1358	2.1173
130	2.1468	2.1066
140	2.1415	2.1762
150	2.1329	2.0842
160	2.1303	2.0985
170	2.1127	2.1194
180	2.1174	2.1332
190	2.1383	2.1402
200	2.138	2.1777
210	2.1343	2.1353
220	2.1317	2.1137
230	2.1292	2.0847
240	2.1261	2.1501
250	2.1247	2.141
260	2.1277	2.1876
270	2.1293	2.1309
280	2.124	2.1051
290	2.1181	2.1449
300	2.1407	2.2125
310	2.1496	2.1859
320	2.1432	2.1471
330	2.1354	2.1533
340	2.1542	2.1519
350	2.1522	2.1576
360	2.1417	2.117
370	2.1541	2.1032
380	2.1467	2.1032
390	2.1442	2.0578
400	2.1461	2.1664
410	2.1541	2.2009
420	2.1479	2.2154
430	2.1455	2.2154
440	2.1498	2.2014
450	2.1428	2.2209
460	2.1476	2.1904
470	2.1334	2.1809
480	2.1531	2.1869
490	2.1469	2.2244
500	2.1494	2.2045

