#        X        v_x        v_x      -p_xy       -q_x
0.0000e+00 0.0000e+00 0.0000e+00 2.8290e-02 -0.0000e+00
5.0000e-03 4.7020e-03 4.6579e-03 2.8290e-02 -2.6025e-06
1.0000e-02 9.4040e-03 9.3159e-03 2.8290e-02 -5.2041e-06
1.5000e-02 1.4106e-02 1.3974e-02 2.8290e-02 -7.8271e-06
2.0000e-02 1.8808e-02 1.8632e-02 2.8290e-02 -1.0455e-05
2.5000e-02 2.3510e-02 2.3290e-02 2.8290e-02 -1.3081e-05
3.0000e-02 2.8212e-02 2.7948e-02 2.8290e-02 -1.5707e-05
3.5000e-02 3.2915e-02 3.2606e-02 2.8290e-02 -1.8331e-05
4.0000e-02 3.7617e-02 3.7265e-02 2.8290e-02 -2.0952e-05
4.5000e-02 4.2319e-02 4.1923e-02 2.8290e-02 -2.3572e-05
5.0000e-02 4.7022e-02 4.6581e-02 2.8290e-02 -2.6187e-05
5.5000e-02 5.1725e-02 5.1240e-02 2.8290e-02 -2.8800e-05
6.0000e-02 5.6427e-02 5.5899e-02 2.8290e-02 -3.1407e-05
6.5000e-02 6.1130e-02 6.0557e-02 2.8290e-02 -3.4010e-05
7.0000e-02 6.5833e-02 6.5216e-02 2.8290e-02 -3.6606e-05
7.5000e-02 7.0536e-02 6.9875e-02 2.8290e-02 -3.9196e-05
8.0000e-02 7.5240e-02 7.4535e-02 2.8290e-02 -4.1778e-05
8.5000e-02 7.9943e-02 7.9194e-02 2.8290e-02 -4.4351e-05
9.0000e-02 8.4647e-02 8.3854e-02 2.8290e-02 -4.6914e-05
9.5000e-02 8.9351e-02 8.8514e-02 2.8290e-02 -4.9466e-05
1.0000e-01 9.4055e-02 9.3174e-02 2.8290e-02 -5.2004e-05
1.0500e-01 9.8759e-02 9.7834e-02 2.8290e-02 -5.4526e-05
1.1000e-01 1.0346e-01 1.0249e-01 2.8290e-02 -5.7036e-05
1.1500e-01 1.0817e-01 1.0716e-01 2.8290e-02 -5.9652e-05
1.2000e-01 1.1287e-01 1.1182e-01 2.8290e-02 -6.2249e-05
1.2500e-01 1.1758e-01 1.1648e-01 2.8290e-02 -6.4831e-05
1.3000e-01 1.2228e-01 1.2114e-01 2.8290e-02 -6.7396e-05
1.3500e-01 1.2699e-01 1.2580e-01 2.8290e-02 -6.9943e-05
1.4000e-01 1.3170e-01 1.3046e-01 2.8290e-02 -7.2469e-05
1.4500e-01 1.3640e-01 1.3513e-01 2.8290e-02 -7.4973e-05
1.5000e-01 1.4111e-01 1.3979e-01 2.8290e-02 -7.7452e-05
1.5500e-01 1.4582e-01 1.4445e-01 2.8290e-02 -7.9902e-05
1.6000e-01 1.5053e-01 1.4911e-01 2.8290e-02 -8.2319e-05
1.6500e-01 1.5523e-01 1.5378e-01 2.8290e-02 -8.4700e-05
1.7000e-01 1.5994e-01 1.5844e-01 2.8290e-02 -8.7040e-05
1.7500e-01 1.6465e-01 1.6311e-01 2.8290e-02 -8.9331e-05
1.8000e-01 1.6936e-01 1.6777e-01 2.8290e-02 -9.1567e-05
1.8500e-01 1.7407e-01 1.7244e-01 2.8290e-02 -9.3735e-05
1.9000e-01 1.7878e-01 1.7710e-01 2.8290e-02 -9.5965e-05
1.9500e-01 1.8349e-01 1.8177e-01 2.8290e-02 -9.8458e-05
2.0000e-01 1.8820e-01 1.8644e-01 2.8290e-02 -1.0088e-04
2.0500e-01 1.9291e-01 1.9110e-01 2.8290e-02 -1.0323e-04
2.1000e-01 1.9762e-01 1.9577e-01 2.8290e-02 -1.0550e-04
2.1500e-01 2.0234e-01 2.0044e-01 2.8290e-02 -1.0769e-04
2.2000e-01 2.0705e-01 2.0511e-01 2.8290e-02 -1.0978e-04
2.2500e-01 2.1176e-01 2.0978e-01 2.8290e-02 -1.1176e-04
2.3000e-01 2.1648e-01 2.1445e-01 2.8290e-02 -1.1363e-04
2.3500e-01 2.2119e-01 2.1912e-01 2.8290e-02 -1.1535e-04
2.4000e-01 2.2591e-01 2.2379e-01 2.8290e-02 -1.1692e-04
2.4500e-01 2.3062e-01 2.2846e-01 2.8290e-02 -1.1830e-04
2.5000e-01 2.3534e-01 2.3313e-01 2.8290e-02 -1.1944e-04
2.5500e-01 2.4006e-01 2.3781e-01 2.8290e-02 -1.2130e-04
2.6000e-01 2.4477e-01 2.4248e-01 2.8290e-02 -1.2329e-04
