#          y     vel_x      p_xy       q_x
9.1149e-03 1.5029e-04 -1.6413e-03 -5.7459e-07
2.7345e-02 4.5087e-04 -1.6413e-03 -1.7378e-06
4.5574e-02 7.5148e-04 -1.6413e-03 -2.9226e-06
6.3804e-02 1.0521e-03 -1.6413e-03 -4.1560e-06
8.2034e-02 1.3529e-03 -1.6413e-03 -5.4468e-06
1.0026e-01 1.6537e-03 -1.6413e-03 -6.8235e-06
1.1849e-01 1.9547e-03 -1.6413e-03 -8.2980e-06
1.3672e-01 2.2558e-03 -1.6413e-03 -9.9007e-06
1.5495e-01 2.5571e-03 -1.6413e-03 -1.1647e-05
1.7318e-01 2.8586e-03 -1.6413e-03 -1.3571e-05
1.9141e-01 3.1603e-03 -1.6413e-03 -1.5693e-05
2.0964e-01 3.4624e-03 -1.6413e-03 -1.8054e-05
2.2787e-01 3.7647e-03 -1.6413e-03 -2.0680e-05
2.4610e-01 4.0675e-03 -1.6414e-03 -2.3619e-05
2.6433e-01 4.3706e-03 -1.6414e-03 -2.6906e-05
2.8256e-01 4.6743e-03 -1.6414e-03 -3.0599e-05
3.0079e-01 4.9785e-03 -1.6414e-03 -3.4743e-05
3.1902e-01 5.2833e-03 -1.6415e-03 -3.9408e-05
3.3725e-01 5.5888e-03 -1.6415e-03 -4.4654e-05
3.5548e-01 5.8951e-03 -1.6414e-03 -5.0557e-05
3.7133e-01 6.1621e-03 -1.6413e-03 -5.6315e-05
3.8426e-01 6.3804e-03 -1.6413e-03 -6.1477e-05
3.9613e-01 6.5814e-03 -1.6413e-03 -6.6613e-05
4.0705e-01 6.7666e-03 -1.6412e-03 -7.1712e-05
4.1707e-01 6.9371e-03 -1.6412e-03 -7.6727e-05
4.2628e-01 7.0941e-03 -1.6412e-03 -8.1649e-05
4.3475e-01 7.2387e-03 -1.6412e-03 -8.6426e-05
4.4252e-01 7.3719e-03 -1.6412e-03 -9.1072e-05
4.4966e-01 7.4945e-03 -1.6411e-03 -9.5557e-05
4.5623e-01 7.6073e-03 -1.6411e-03 -9.9872e-05
4.6226e-01 7.7113e-03 -1.6411e-03 -1.0399e-04
4.6780e-01 7.8069e-03 -1.6411e-03 -1.0796e-04
4.7289e-01 7.8949e-03 -1.6411e-03 -1.1169e-04
4.7757e-01 7.9759e-03 -1.6411e-03 -1.1527e-04
4.8187e-01 8.0505e-03 -1.6411e-03 -1.1863e-04
4.8582e-01 8.1191e-03 -1.6410e-03 -1.2182e-04
4.8944e-01 8.1822e-03 -1.6410e-03 -1.2483e-04
4.9278e-01 8.2403e-03 -1.6410e-03 -1.2764e-04
4.9584e-01 8.2936e-03 -1.6409e-03 -1.3033e-04
4.9865e-01 8.3410e-03 -1.6395e-03 -1.3277e-04
