#          y     vel_x      p_xy       q_x
9.1149e-03 1.5299e-04 -1.6780e-03 -3.9441e-08
2.7345e-02 4.5896e-04 -1.6780e-03 -1.1956e-07
4.5574e-02 7.6494e-04 -1.6780e-03 -2.0298e-07
6.3804e-02 1.0709e-03 -1.6780e-03 -2.9217e-07
8.2034e-02 1.3769e-03 -1.6780e-03 -3.8984e-07
1.0026e-01 1.6829e-03 -1.6779e-03 -4.9921e-07
1.1849e-01 1.9889e-03 -1.6779e-03 -6.2424e-07
1.3672e-01 2.2949e-03 -1.6778e-03 -7.6990e-07
1.5495e-01 2.6009e-03 -1.6778e-03 -9.4268e-07
1.7318e-01 2.9070e-03 -1.6777e-03 -1.1514e-06
1.9141e-01 3.2131e-03 -1.6776e-03 -1.4086e-06
2.0964e-01 3.5192e-03 -1.6776e-03 -1.7329e-06
2.2787e-01 3.8255e-03 -1.6775e-03 -2.1536e-06
2.4610e-01 4.1318e-03 -1.6774e-03 -2.7194e-06
2.6433e-01 4.4382e-03 -1.6774e-03 -3.5150e-06
2.8256e-01 4.7449e-03 -1.6773e-03 -4.6811e-06
3.0079e-01 5.0518e-03 -1.6772e-03 -6.5130e-06
3.1902e-01 5.3589e-03 -1.6772e-03 -9.2332e-06
3.3725e-01 5.6672e-03 -1.6769e-03 -1.4730e-05
3.5548e-01 5.9734e-03 -1.6787e-03 -1.6348e-05
3.7133e-01 6.2546e-03 -1.6723e-03 -5.4139e-05
3.8426e-01 6.4780e-03 -1.6765e-03 -5.3846e-05
3.9613e-01 6.6903e-03 -1.6764e-03 -6.0782e-05
4.0705e-01 6.8872e-03 -1.6767e-03 -6.6995e-05
4.1707e-01 7.0706e-03 -1.6766e-03 -7.4345e-05
4.2628e-01 7.2415e-03 -1.6766e-03 -8.2340e-05
4.3475e-01 7.4013e-03 -1.6765e-03 -9.1074e-05
4.4252e-01 7.5507e-03 -1.6765e-03 -1.0050e-04
4.4966e-01 7.6909e-03 -1.6764e-03 -1.1059e-04
4.5623e-01 7.8225e-03 -1.6764e-03 -1.2131e-04
4.6226e-01 7.9463e-03 -1.6763e-03 -1.3260e-04
4.6780e-01 8.0628e-03 -1.6763e-03 -1.4441e-04
4.7289e-01 8.1727e-03 -1.6762e-03 -1.5664e-04
4.7757e-01 8.2763e-03 -1.6762e-03 -1.6922e-04
4.8187e-01 8.3740e-03 -1.6761e-03 -1.8207e-04
4.8582e-01 8.4662e-03 -1.6761e-03 -1.9510e-04
4.8944e-01 8.5531e-03 -1.6760e-03 -2.0820e-04
4.9278e-01 8.6349e-03 -1.6757e-03 -2.2124e-04
4.9584e-01 8.7112e-03 -1.6748e-03 -2.3402e-04
4.9865e-01 8.7797e-03 -1.6716e-03 -2.4566e-04
